,file,candidate_cloned,numCands,bucklin,plurality,IRV,top-two,borda-pm,borda-om-no-uwi,borda-avg-no-uwi,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,approval
0,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Rob Baker,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
1,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Tonia Gladney,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
2,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Sylvia L. Moore,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
3,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Shenita Lloyd,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
4,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Cardi DeMonaco Jr.,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
5,"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Michael Jones,7,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
6,"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",writein,6,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
7,"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Harvey Curley,6,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
8,"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Mary Hall-Rayford,6,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
9,"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Larry Edwards,6,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
