voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
6795,Alastair George MAJURY Independent,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
6796,Alastair George MAJURY Independent,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
6797,Alastair George MAJURY Independent,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,4
6798,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Fayzan REHMAN Scottish Liberal Democrats,Alastair George MAJURY Independent,Graham HOUSTON Scottish National Party (SNP),Ewan DILLON Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
6799,Ewan DILLON Scottish Labour Party,Douglas DODDS Scottish Conservative and Unionist,Graham HOUSTON Scottish National Party (SNP),Bill COWAN Alba Party for independence,Fayzan REHMAN Scottish Liberal Democrats,Willy STIRLING Scottish Conservative and Unionist,skipped,skipped,skipped,skipped,4
6800,Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,Bill COWAN Alba Party for independence,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Fayzan REHMAN Scottish Liberal Democrats,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),4
6801,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,Fayzan REHMAN Scottish Liberal Democrats,Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,skipped,skipped,skipped,skipped,skipped,skipped,4
6802,Ahsan KHAN Scottish National Party (SNP),Graham HOUSTON Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,Alastair George MAJURY Independent,Ewan DILLON Scottish Labour Party,Fayzan REHMAN Scottish Liberal Democrats,Willy STIRLING Scottish Conservative and Unionist,Douglas DODDS Scottish Conservative and Unionist,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",4
6803,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,4
6804,Graham HOUSTON Scottish National Party (SNP),Ahsan KHAN Scottish National Party (SNP),Alasdair TOLLEMACHE Re-elect your Scottish Green Councillor,Bill COWAN Alba Party for independence,Fayzan REHMAN Scottish Liberal Democrats,Ewan DILLON Scottish Labour Party,Alastair George MAJURY Independent,"Nickie WILLIS Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",Douglas DODDS Scottish Conservative and Unionist,Willy STIRLING Scottish Conservative and Unionist,4
