ballotID,ward,rank1,rank2,numSeats,numCands
7,400,Terry Seamens,skipped,1,2
49,400,Terry Seamens,skipped,1,2
342,400,Terry Seamens,skipped,1,2
500,400,Terry Seamens,skipped,1,2
570,400,Terry Seamens,skipped,1,2
862,400,Terry Seamens,skipped,1,2
978,400,Terry Seamens,skipped,1,2
1322,400,Terry Seamens,skipped,1,2
1325,400,Terry Seamens,skipped,1,2
1364,400,Terry Seamens,skipped,1,2
3118,400,Terry Seamens,skipped,1,2
3720,400,Terry Seamens,skipped,1,2
4148,400,Terry Seamens,skipped,1,2
4230,400,Terry Seamens,skipped,1,2
4863,400,Terry Seamens,skipped,1,2
5481,400,Terry Seamens,skipped,1,2
6088,400,Terry Seamens,skipped,1,2
3957,400,writein,Terry Seamens,1,2
4233,400,writein,Terry Seamens,1,2
4345,400,writein,Terry Seamens,1,2
4874,400,writein,Terry Seamens,1,2
4908,400,writein,Terry Seamens,1,2
4920,400,writein,Terry Seamens,1,2
4924,400,writein,Terry Seamens,1,2
5575,400,writein,Terry Seamens,1,2
6179,400,writein,Terry Seamens,1,2
506,400,writein,Terry Seamens,1,2
871,400,writein,Terry Seamens,1,2
151,400,Terry Seamens,writein,1,2
1345,400,Terry Seamens,writein,1,2
1653,400,Terry Seamens,writein,1,2
1940,400,Terry Seamens,writein,1,2
304,400,Terry Seamens,writein,1,2
2264,400,writein,skipped,1,2
2772,400,Terry Seamens,writein,1,2
2928,400,Terry Seamens,writein,1,2
3277,400,Terry Seamens,writein,1,2
3421,400,Terry Seamens,writein,1,2
4137,400,Terry Seamens,writein,1,2
374,400,Terry Seamens,writein,1,2
5198,400,Terry Seamens,writein,1,2
5556,400,Terry Seamens,writein,1,2
5597,400,Terry Seamens,writein,1,2
456,400,Terry Seamens,writein,1,2
6052,400,Terry Seamens,writein,1,2
6138,400,Terry Seamens,writein,1,2
767,400,Terry Seamens,writein,1,2
8,400,Terry Seamens,skipped,1,2
9,400,Terry Seamens,skipped,1,2
18,400,Terry Seamens,skipped,1,2
25,400,Terry Seamens,skipped,1,2
27,400,Terry Seamens,skipped,1,2
45,400,Terry Seamens,skipped,1,2
48,400,Terry Seamens,skipped,1,2
59,400,Terry Seamens,skipped,1,2
89,400,Terry Seamens,skipped,1,2
100,400,Terry Seamens,skipped,1,2
115,400,Terry Seamens,skipped,1,2
118,400,Terry Seamens,skipped,1,2
136,400,Terry Seamens,skipped,1,2
137,400,Terry Seamens,skipped,1,2
138,400,Terry Seamens,skipped,1,2
140,400,Terry Seamens,skipped,1,2
147,400,Terry Seamens,skipped,1,2
152,400,Terry Seamens,skipped,1,2
177,400,Terry Seamens,skipped,1,2
183,400,Terry Seamens,skipped,1,2
196,400,Terry Seamens,skipped,1,2
197,400,Terry Seamens,skipped,1,2
203,400,Terry Seamens,skipped,1,2
221,400,Terry Seamens,skipped,1,2
231,400,Terry Seamens,skipped,1,2
233,400,Terry Seamens,skipped,1,2
234,400,Terry Seamens,skipped,1,2
239,400,Terry Seamens,skipped,1,2
264,400,Terry Seamens,skipped,1,2
283,400,Terry Seamens,skipped,1,2
297,400,Terry Seamens,skipped,1,2
302,400,Terry Seamens,skipped,1,2
325,400,Terry Seamens,skipped,1,2
335,400,Terry Seamens,skipped,1,2
339,400,Terry Seamens,skipped,1,2
348,400,Terry Seamens,skipped,1,2
351,400,Terry Seamens,skipped,1,2
361,400,Terry Seamens,skipped,1,2
368,400,Terry Seamens,skipped,1,2
390,400,Terry Seamens,skipped,1,2
400,400,Terry Seamens,skipped,1,2
417,400,Terry Seamens,skipped,1,2
431,400,Terry Seamens,skipped,1,2
433,400,Terry Seamens,skipped,1,2
443,400,Terry Seamens,skipped,1,2
445,400,Terry Seamens,skipped,1,2
459,400,Terry Seamens,skipped,1,2
471,400,Terry Seamens,skipped,1,2
486,400,Terry Seamens,skipped,1,2
488,400,Terry Seamens,skipped,1,2
490,400,Terry Seamens,skipped,1,2
505,400,Terry Seamens,skipped,1,2
509,400,Terry Seamens,skipped,1,2
511,400,Terry Seamens,skipped,1,2
512,400,Terry Seamens,skipped,1,2
515,400,Terry Seamens,skipped,1,2
525,400,Terry Seamens,skipped,1,2
528,400,Terry Seamens,skipped,1,2
529,400,Terry Seamens,skipped,1,2
535,400,Terry Seamens,skipped,1,2
540,400,Terry Seamens,skipped,1,2
547,400,Terry Seamens,skipped,1,2
564,400,Terry Seamens,skipped,1,2
585,400,Terry Seamens,skipped,1,2
587,400,Terry Seamens,skipped,1,2
607,400,Terry Seamens,skipped,1,2
608,400,Terry Seamens,skipped,1,2
