ballotID,ward,rank1,rank2,rank3,rank4,numSeats,numCands
873,200,Talisha Searcy,Jarrett Smith,writein,Seth Grimes,1,4
1073,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
3415,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
4319,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
5962,500,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
1889,600,Seth Grimes,skipped,skipped,skipped,1,4
3920,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped,1,4
4367,200,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped,1,4
4015,200,writein,Seth Grimes,Jarrett Smith,Talisha Searcy,1,4
5580,100,writein,Seth Grimes,Jarrett Smith,Talisha Searcy,1,4
145,200,writein,Seth Grimes,Jarrett Smith,Talisha Searcy,1,4
2868,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped,1,4
1849,600,Seth Grimes,writein,Jarrett Smith,Talisha Searcy,1,4
2576,100,Seth Grimes,writein,Jarrett Smith,Talisha Searcy,1,4
4700,500,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped,1,4
4995,600,Talisha Searcy,Jarrett Smith,skipped,skipped,1,4
92,600,Seth Grimes,skipped,skipped,skipped,1,4
790,600,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
1364,400,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
2055,600,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped,1,4
3318,100,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
114,300,Talisha Searcy,Seth Grimes,skipped,skipped,1,4
2387,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped,1,4
62,600,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
1475,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
3222,100,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
5586,200,Talisha Searcy,Seth Grimes,skipped,skipped,1,4
104,500,Talisha Searcy,skipped,skipped,skipped,1,4
279,400,Talisha Searcy,skipped,skipped,skipped,1,4
1934,500,Talisha Searcy,skipped,skipped,skipped,1,4
2012,500,Talisha Searcy,skipped,skipped,skipped,1,4
2660,600,Talisha Searcy,skipped,skipped,skipped,1,4
2727,200,Talisha Searcy,skipped,skipped,skipped,1,4
3055,500,Talisha Searcy,skipped,skipped,skipped,1,4
3118,400,Talisha Searcy,skipped,skipped,skipped,1,4
4191,600,Talisha Searcy,skipped,skipped,skipped,1,4
5323,400,Talisha Searcy,skipped,skipped,skipped,1,4
5722,400,Talisha Searcy,skipped,skipped,skipped,1,4
5890,300,Talisha Searcy,skipped,skipped,skipped,1,4
5049,600,Seth Grimes,Jarrett Smith,writein,Talisha Searcy,1,4
466,100,Seth Grimes,Jarrett Smith,writein,Talisha Searcy,1,4
1015,300,Seth Grimes,Jarrett Smith,writein,Talisha Searcy,1,4
1017,300,Seth Grimes,Jarrett Smith,writein,Talisha Searcy,1,4
806,600,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped,1,4
2869,600,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped,1,4
4554,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped,1,4
562,600,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
5968,600,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped,1,4
1166,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
1345,400,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
1384,400,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
1428,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
1562,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
1601,400,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
1848,600,Seth Grimes,Jarrett Smith,Talisha Searcy,writein,1,4
1940,400,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
2093,600,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
2245,600,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
341,600,Seth Grimes,Jarrett Smith,Talisha Searcy,writein,1,4
3274,400,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
3421,400,Jarrett Smith,Talisha Searcy,Seth Grimes,writein,1,4
3647,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
3745,200,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
3969,200,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
4076,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4082,400,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4083,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
4126,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
4137,400,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
4285,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4410,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4413,600,Jarrett Smith,Talisha Searcy,Seth Grimes,writein,1,4
4608,200,Seth Grimes,skipped,skipped,skipped,1,4
4630,100,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
4665,200,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
4697,600,Seth Grimes,Jarrett Smith,Talisha Searcy,writein,1,4
4699,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
4762,300,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
4768,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4830,600,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
4831,600,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
4848,300,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
116,500,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
5001,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
5093,200,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
5383,200,Talisha Searcy,writein,skipped,skipped,1,4
5445,300,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
5458,200,Talisha Searcy,Jarrett Smith,Seth Grimes,writein,1,4
5714,100,Talisha Searcy,writein,skipped,skipped,1,4
5717,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
5718,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
5719,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
5931,100,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
5937,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
6052,400,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
531,600,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
668,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
744,200,Seth Grimes,Talisha Searcy,Jarrett Smith,writein,1,4
144,400,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
151,400,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
1074,200,Talisha Searcy,Seth Grimes,Jarrett Smith,writein,1,4
3001,200,Jarrett Smith,skipped,skipped,skipped,1,4
3503,200,Jarrett Smith,skipped,skipped,skipped,1,4
751,200,Talisha Searcy,Jarrett Smith,skipped,skipped,1,4
2,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
14,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
15,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
17,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
30,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
33,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
34,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
36,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
41,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
57,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped,1,4
