precinct,rank1,rank2,rank3,Num cands,Num seats
06-08,writein,R.T. Rybak,skipped,12,1
01-03,writein,skipped,skipped,12,1
07-05,writein,Papa John Kolstad,skipped,12,1
08-10,writein,Tom Fiske,James R. Everett,12,1
10-03,writein,skipped,skipped,12,1
10-07,writein,Joey Lombard,R.T. Rybak,12,1
01-02,writein,R.T. Rybak,Joey Lombard,12,1
04-10,writein,James R. Everett,Papa John Kolstad,12,1
04-08,writein,James R. Everett,R.T. Rybak,12,1
04-08,writein,James R. Everett,R.T. Rybak,12,1
10-06,writein,Al Flowers,Dick Franson,12,1
01-02,writein,Dick Franson,Christopher Clark,12,1
12-09,writein,Dick Franson,Papa John Kolstad,12,1
09-04,writein,Papa John Kolstad,skipped,12,1
08-01,writein,Papa John Kolstad,James R. Everett,12,1
12-03,writein,Papa John Kolstad,Al Flowers,12,1
12-06,writein,Papa John Kolstad,Al Flowers,12,1
13-03,writein,Papa John Kolstad,Al Flowers,12,1
08-10,writein,Papa John Kolstad,Dick Franson,12,1
12-06,writein,Papa John Kolstad,Dick Franson,12,1
12-06,writein,Papa John Kolstad,skipped,12,1
08-06,writein,Papa John Kolstad,R.T. Rybak,12,1
11-08,writein,Papa John Kolstad,R.T. Rybak,12,1
03-06,writein,Papa John Kolstad,skipped,12,1
06-01,writein,Papa John Kolstad,skipped,12,1
06-02,writein,Papa John Kolstad,skipped,12,1
09-03,writein,Papa John Kolstad,skipped,12,1
09-03,writein,Papa John Kolstad,skipped,12,1
09-04,writein,Papa John Kolstad,skipped,12,1
09-04,writein,Papa John Kolstad,skipped,12,1
09-04,writein,Papa John Kolstad,skipped,12,1
09-08,writein,Papa John Kolstad,skipped,12,1
12-05,writein,Papa John Kolstad,skipped,12,1
13-06,writein,skipped,skipped,12,1
04-04,writein,Papa John Kolstad,skipped,12,1
07-02,writein,skipped,skipped,12,1
07-02,writein,skipped,skipped,12,1
08-10,writein,skipped,skipped,12,1
11-09,writein,R.T. Rybak,Dick Franson,12,1
11-09,writein,R.T. Rybak,Dick Franson,12,1
01-09,writein,R.T. Rybak,skipped,12,1
01-09,writein,R.T. Rybak,skipped,12,1
02-03,writein,R.T. Rybak,skipped,12,1
03-03,writein,R.T. Rybak,skipped,12,1
03-06,writein,R.T. Rybak,skipped,12,1
11-05,writein,R.T. Rybak,skipped,12,1
12-02,writein,R.T. Rybak,skipped,12,1
13-09,writein,R.T. Rybak,skipped,12,1
03-09,writein,R.T. Rybak,skipped,12,1
03-01,writein,skipped,skipped,12,1
03-01,writein,skipped,skipped,12,1
05-03,writein,skipped,skipped,12,1
06-02,writein,skipped,skipped,12,1
07-02,writein,skipped,skipped,12,1
07-02,writein,skipped,skipped,12,1
07-02,writein,skipped,skipped,12,1
08-01,writein,skipped,skipped,12,1
08-01,writein,skipped,skipped,12,1
08-01,writein,skipped,skipped,12,1
08-02,writein,skipped,skipped,12,1
12-02,writein,skipped,skipped,12,1
12-02,writein,skipped,skipped,12,1
12-11,writein,skipped,skipped,12,1
13-01,writein,skipped,skipped,12,1
13-01,writein,skipped,skipped,12,1
13-09,writein,skipped,skipped,12,1
10-02,writein,skipped,skipped,12,1
09-02,writein,R.T. Rybak,Papa John Kolstad,12,1
02-02,writein,R.T. Rybak,Joey Lombard,12,1
01-01,writein,skipped,skipped,12,1
01-01,writein,skipped,skipped,12,1
04-03,writein,R.T. Rybak,skipped,12,1
12-01,writein,Papa John Kolstad,Al Flowers,12,1
06-04,writein,Papa John Kolstad,R.T. Rybak,12,1
09-10,writein,R.T. Rybak,skipped,12,1
11-06,writein,skipped,skipped,12,1
12-02,writein,Papa John Kolstad,Al Flowers,12,1
13-07,writein,skipped,skipped,12,1
06-05,Bob Carney Jr.,Christopher Clark,Tom Fiske,12,1
01-02,Bob Carney Jr.,Christopher Clark,Al Flowers,12,1
09-07,Bob Carney Jr.,Christopher Clark,Dick Franson,12,1
09-07,Bob Carney Jr.,Christopher Clark,Dick Franson,12,1
12-09,Bob Carney Jr.,Christopher Clark,Dick Franson,12,1
13-06,Bob Carney Jr.,Christopher Clark,Dick Franson,12,1
10-09,Bob Carney Jr.,Christopher Clark,Papa John Kolstad,12,1
13-08,Bob Carney Jr.,Christopher Clark,Papa John Kolstad,12,1
04-07,Bob Carney Jr.,Christopher Clark,Joey Lombard,12,1
13-08,Bob Carney Jr.,Christopher Clark,Joey Lombard,12,1
11-04,Bob Carney Jr.,Christopher Clark,Bill McGaughey,12,1
01-03,Bob Carney Jr.,Christopher Clark,R.T. Rybak,12,1
02-05,Bob Carney Jr.,Christopher Clark,R.T. Rybak,12,1
07-06,Bob Carney Jr.,Christopher Clark,R.T. Rybak,12,1
13-03,Bob Carney Jr.,Christopher Clark,R.T. Rybak,12,1
13-04,Bob Carney Jr.,Christopher Clark,John Charles Wilson,12,1
01-01,Bob Carney Jr.,Christopher Clark,skipped,12,1
10-01,Bob Carney Jr.,Christopher Clark,skipped,12,1
12-08,Bob Carney Jr.,Christopher Clark,skipped,12,1
13-10,Bob Carney Jr.,Christopher Clark,skipped,12,1
13-02,Bob Carney Jr.,writein,skipped,12,1
13-01,Bob Carney Jr.,James R. Everett,Bill McGaughey,12,1
13-08,Bob Carney Jr.,James R. Everett,R.T. Rybak,12,1
13-10,Bob Carney Jr.,James R. Everett,John Charles Wilson,12,1
13-10,Bob Carney Jr.,James R. Everett,John Charles Wilson,12,1
07-04,Bob Carney Jr.,Tom Fiske,Christopher Clark,12,1
04-06,Bob Carney Jr.,Tom Fiske,Al Flowers,12,1
04-06,Bob Carney Jr.,Tom Fiske,Bill McGaughey,12,1
04-06,Bob Carney Jr.,Tom Fiske,Bill McGaughey,12,1
08-06,Bob Carney Jr.,Tom Fiske,R.T. Rybak,12,1
12-08,Bob Carney Jr.,Tom Fiske,R.T. Rybak,12,1
07-01,Bob Carney Jr.,Al Flowers,Dick Franson,12,1
08-10,Bob Carney Jr.,Al Flowers,Dick Franson,12,1
10-08,Bob Carney Jr.,Al Flowers,Papa John Kolstad,12,1
10-08,Bob Carney Jr.,Al Flowers,Papa John Kolstad,12,1
12-02,Bob Carney Jr.,Al Flowers,R.T. Rybak,12,1
12-02,Bob Carney Jr.,Al Flowers,R.T. Rybak,12,1
07-06,Bob Carney Jr.,Al Flowers,skipped,12,1
11-06,Bob Carney Jr.,Al Flowers,skipped,12,1
13-10,Bob Carney Jr.,Dick Franson,Christopher Clark,12,1
05-04,Bob Carney Jr.,Dick Franson,James R. Everett,12,1
02-10,Bob Carney Jr.,Dick Franson,Tom Fiske,12,1
02-02,Bob Carney Jr.,Dick Franson,Al Flowers,12,1
03-07,Bob Carney Jr.,Dick Franson,Al Flowers,12,1
05-05,Bob Carney Jr.,Dick Franson,Al Flowers,12,1
13-08,Bob Carney Jr.,Dick Franson,Papa John Kolstad,12,1
04-03,Bob Carney Jr.,Dick Franson,Bill McGaughey,12,1
08-08,Bob Carney Jr.,Dick Franson,Bill McGaughey,12,1
04-04,Bob Carney Jr.,Dick Franson,R.T. Rybak,12,1
04-04,Bob Carney Jr.,Dick Franson,R.T. Rybak,12,1
05-08,Bob Carney Jr.,Dick Franson,R.T. Rybak,12,1
06-08,Bob Carney Jr.,Dick Franson,R.T. Rybak,12,1
12-08,Bob Carney Jr.,Dick Franson,R.T. Rybak,12,1
08-07,Bob Carney Jr.,Dick Franson,skipped,12,1
04-07,Bob Carney Jr.,Papa John Kolstad,Christopher Clark,12,1
09-05,Bob Carney Jr.,Papa John Kolstad,Christopher Clark,12,1
11-08,Bob Carney Jr.,Papa John Kolstad,Christopher Clark,12,1
12-11,Bob Carney Jr.,Papa John Kolstad,Christopher Clark,12,1
13-08,Bob Carney Jr.,Papa John Kolstad,Christopher Clark,12,1
13-05,Bob Carney Jr.,Papa John Kolstad,James R. Everett,12,1
10-04,Bob Carney Jr.,Papa John Kolstad,Dick Franson,12,1
