precinct,rank1,rank2,rank3,Num cands,Num seats
2001-05-04,writein,Michael Guest,Jon Olson,3,1
2001-05-02,writein,Michael Guest,Jon Olson,3,1
2001-04-02,writein,skipped,skipped,3,1
2001-03-08,writein,skipped,skipped,3,1
2001-03-09,writein,Jon Olson,Michael Guest,3,1
2001-05-08,writein,skipped,skipped,3,1
2001-05-01,writein,Jon Olson,Michael Guest,3,1
2001-05-08,writein,skipped,skipped,3,1
2001-03-08,writein,Michael Guest,skipped,3,1
2001-05-07,writein,skipped,skipped,3,1
2001-05-02,writein,skipped,skipped,3,1
2001-04-06,writein,skipped,skipped,3,1
2001-03-07,writein,skipped,skipped,3,1
2001-03-09,writein,skipped,skipped,3,1
2001-04-07,writein,skipped,skipped,3,1
2001-04-05,writein,skipped,skipped,3,1
2001-05-10,writein,skipped,skipped,3,1
2001-05-08,writein,skipped,skipped,3,1
2001-04-06,writein,skipped,skipped,3,1
2001-04-07,writein,skipped,skipped,3,1
2001-05-08,Michael Guest,writein,skipped,3,1
2001-04-02,Michael Guest,writein,Jon Olson,3,1
2001-04-06,Michael Guest,writein,Jon Olson,3,1
2001-04-01,Michael Guest,writein,skipped,3,1
2001-05-01,Michael Guest,writein,Jon Olson,3,1
2001-04-04,Michael Guest,writein,skipped,3,1
2001-05-01,Michael Guest,writein,skipped,3,1
2001-04-10,Michael Guest,writein,skipped,3,1
2001-04-01,Michael Guest,writein,skipped,3,1
2001-04-04,Michael Guest,writein,skipped,3,1
2001-05-04,Michael Guest,writein,skipped,3,1
2001-04-08,Michael Guest,writein,skipped,3,1
2001-04-09,Michael Guest,writein,Jon Olson,3,1
2001-04-10,Michael Guest,writein,skipped,3,1
2001-05-02,Michael Guest,writein,skipped,3,1
2001-05-01,Michael Guest,writein,skipped,3,1
2001-05-03,Michael Guest,writein,skipped,3,1
2001-03-08,Michael Guest,writein,Jon Olson,3,1
2001-05-01,Michael Guest,writein,skipped,3,1
2001-05-03,Michael Guest,writein,Jon Olson,3,1
2001-05-01,Michael Guest,writein,skipped,3,1
2001-05-09,Michael Guest,writein,skipped,3,1
2001-05-04,Michael Guest,Jon Olson,writein,3,1
2001-04-08,Michael Guest,Jon Olson,writein,3,1
2001-04-08,Michael Guest,Jon Olson,writein,3,1
2001-05-10,Michael Guest,Jon Olson,writein,3,1
2001-05-08,Michael Guest,Jon Olson,writein,3,1
2001-05-10,Michael Guest,Jon Olson,writein,3,1
2001-05-05,Michael Guest,Jon Olson,writein,3,1
2001-05-04,Michael Guest,Jon Olson,writein,3,1
2001-05-05,Michael Guest,Jon Olson,writein,3,1
2001-04-04,Michael Guest,Jon Olson,writein,3,1
2001-05-01,Michael Guest,Jon Olson,writein,3,1
2001-04-01,Michael Guest,Jon Olson,writein,3,1
2001-03-09,Michael Guest,Jon Olson,writein,3,1
2001-04-08,Michael Guest,Jon Olson,writein,3,1
2001-04-08,Michael Guest,Jon Olson,writein,3,1
2001-05-05,Michael Guest,Jon Olson,writein,3,1
2001-04-06,Michael Guest,Jon Olson,writein,3,1
2001-05-04,Michael Guest,Jon Olson,writein,3,1
2001-04-05,Michael Guest,Jon Olson,writein,3,1
2001-05-05,Michael Guest,Jon Olson,writein,3,1
2001-05-08,Michael Guest,Jon Olson,writein,3,1
2001-03-07,Michael Guest,Jon Olson,writein,3,1
2001-04-05,Michael Guest,Jon Olson,writein,3,1
2001-05-02,Michael Guest,Jon Olson,writein,3,1
2001-04-05,Michael Guest,Jon Olson,writein,3,1
2001-07-07,Michael Guest,Jon Olson,writein,3,1
2001-07-07,Michael Guest,Jon Olson,writein,3,1
2001-05-05,Michael Guest,Jon Olson,writein,3,1
2001-05-03,Michael Guest,Jon Olson,writein,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-07,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-08,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
2001-03-09,Michael Guest,Jon Olson,skipped,3,1
