precinct,rank1,rank2,rank3,Num cands,Num seats
2001-05-01,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-01,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-01,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-03,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-04,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-04,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-04,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-05,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-05,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-07,Lennie Chism,Natalie Johnson Lee,Kenya McKnight,6,1
2001-05-05,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-06,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-10,Lennie Chism,Natalie Johnson Lee,Don Samuels,6,1
2001-05-04,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,6,1
2001-05-05,Lennie Chism,Natalie Johnson Lee,Roger Smithrud,6,1
2001-05-03,Lennie Chism,Natalie Johnson Lee,skipped,6,1
2001-05-01,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-03,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-03,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-04,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-04,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-05,Lennie Chism,Kenya McKnight,Natalie Johnson Lee,6,1
2001-05-01,Lennie Chism,Kenya McKnight,Don Samuels,6,1
2001-05-04,Lennie Chism,Kenya McKnight,Don Samuels,6,1
