precincts,tally_type,ballotID,rank1,rank2,rank3,numSeats,numCands
7014,VBM / EV - 400c 1st Cut,7744,THEO ELLINGTON,GLORIA BERRY,ASALE CHANDLER,1,7
7014,VBM / EV - 400c 1st Cut,7746,THEO ELLINGTON,UZURI PEASE-GREENE,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7747,GLORIA BERRY,SHAMANN WALTON,UZURI PEASE-GREENE,1,7
7014,VBM / EV - 400c 1st Cut,7748,UZURI PEASE-GREENE,TONY KELLY,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7749,TONY KELLY,UZURI PEASE-GREENE,THEO ELLINGTON,1,7
7014,VBM / EV - 400c 1st Cut,7750,TONY KELLY,UZURI PEASE-GREENE,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7751,THEO ELLINGTON,skipped,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7752,GLORIA BERRY,ASALE CHANDLER,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7753,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7754,GLORIA BERRY,ASALE CHANDLER,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7755,ASALE CHANDLER,UZURI PEASE-GREENE,SHAMANN WALTON,1,7
7014,VBM / EV - 400c 1st Cut,7756,SHAMANN WALTON,TONY KELLY,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7757,TONY KELLY,SHAMANN WALTON,THEO ELLINGTON,1,7
7014,VBM / EV - 400c 1st Cut,7758,THEO ELLINGTON,SHAMANN WALTON,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7759,GLORIA BERRY,TONY KELLY,THEO ELLINGTON,1,7
7014,VBM / EV - 400c 1st Cut,7760,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7761,TONY KELLY,skipped,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7762,THEO ELLINGTON,SHAMANN WALTON,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7763,THEO ELLINGTON,TONY KELLY,GLORIA BERRY,1,7
7014,VBM / EV - 400c 1st Cut,7764,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7014,VBM / EV - 400c 1st Cut,7765,SHAMANN WALTON,TONY KELLY,THEO ELLINGTON,1,7
7014,VBM / EV - 400c 1st Cut,7766,SHAMANN WALTON,GLORIA BERRY,UZURI PEASE-GREENE,1,7
7014,VBM / EV - 400c 1st Cut,7767,TONY KELLY,skipped,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7768,SHAMANN WALTON,THEO ELLINGTON,UZURI PEASE-GREENE,1,7
7014,VBM / EV - 400c 1st Cut,7769,SHAMANN WALTON,THEO ELLINGTON,UZURI PEASE-GREENE,1,7
7014,VBM / EV - 400c 1st Cut,7770,THEO ELLINGTON,skipped,skipped,1,7
7014,VBM / EV - 400c 1st Cut,7771,SHAMANN WALTON,UZURI PEASE-GREENE,GLORIA BERRY,1,7
7014,VBM / EV - 400c 1st Cut,7772,SHAMANN WALTON,GLORIA BERRY,TONY KELLY,1,7
7015,VBM / EV - 400c 1st Cut,7773,THEO ELLINGTON,SHAMANN WALTON,skipped,1,7
7015,VBM / EV - 400c 1st Cut,7774,THEO ELLINGTON,GLORIA BERRY,SHAMANN WALTON,1,7
7015,VBM / EV - 400c 1st Cut,7775,TONY KELLY,UZURI PEASE-GREENE,THEO ELLINGTON,1,7
7015,VBM / EV - 400c 1st Cut,7776,SHAMANN WALTON,skipped,skipped,1,7
7016,VBM / EV - 400c 1st Cut,7777,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7016,VBM / EV - 400c 1st Cut,7778,GLORIA BERRY,THEO ELLINGTON,TONY KELLY,1,7
7016,VBM / EV - 400c 1st Cut,7779,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7016,VBM / EV - 400c 1st Cut,7780,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7016,VBM / EV - 400c 1st Cut,7781,UZURI PEASE-GREENE,THEO ELLINGTON,SHAMANN WALTON,1,7
7016,VBM / EV - 400c 1st Cut,7782,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7016,VBM / EV - 400c 1st Cut,7783,TONY KELLY,skipped,skipped,1,7
7016,VBM / EV - 400c 1st Cut,7784,TONY KELLY,SHAMANN WALTON,UZURI PEASE-GREENE,1,7
7016,VBM / EV - 400c 1st Cut,7785,SHAMANN WALTON,skipped,skipped,1,7
7016,VBM / EV - 400c 1st Cut,7786,SHAMANN WALTON,skipped,skipped,1,7
7016,VBM / EV - 400c 1st Cut,7787,SHAMANN WALTON,THEO ELLINGTON,ASALE CHANDLER,1,7
7017,VBM / EV - 400c 1st Cut,7788,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7789,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7790,THEO ELLINGTON,SHAMANN WALTON,GLORIA BERRY,1,7
7017,VBM / EV - 400c 1st Cut,7791,TONY KELLY,SHAMANN WALTON,THEO ELLINGTON,1,7
7017,VBM / EV - 400c 1st Cut,7792,SHAMANN WALTON,THEO ELLINGTON,TONY KELLY,1,7
7017,VBM / EV - 400c 1st Cut,7793,SHAMANN WALTON,UZURI PEASE-GREENE,THEO ELLINGTON,1,7
7017,VBM / EV - 400c 1st Cut,7794,ASALE CHANDLER,GLORIA BERRY,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7795,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7796,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7797,TONY KELLY,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7798,THEO ELLINGTON,SHAMANN WALTON,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7799,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7800,SHAMANN WALTON,skipped,skipped,1,7
7017,VBM / EV - 400c 1st Cut,7801,SHAMANN WALTON,GLORIA BERRY,TONY KELLY,1,7
7018,VBM / EV - 400c 1st Cut,7802,SHAMANN WALTON,UZURI PEASE-GREENE,TONY KELLY,1,7
7018,VBM / EV - 400c 1st Cut,7803,UZURI PEASE-GREENE,TONY KELLY,THEO ELLINGTON,1,7
7018,VBM / EV - 400c 1st Cut,7804,THEO ELLINGTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7805,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7806,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7807,THEO ELLINGTON,ASALE CHANDLER,GLORIA BERRY,1,7
7018,VBM / EV - 400c 1st Cut,7808,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7810,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7811,TONY KELLY,THEO ELLINGTON,GLORIA BERRY,1,7
7018,VBM / EV - 400c 1st Cut,7812,THEO ELLINGTON,SHAMANN WALTON,TONY KELLY,1,7
7018,VBM / EV - 400c 1st Cut,7813,SHAMANN WALTON,THEO ELLINGTON,UZURI PEASE-GREENE,1,7
7018,VBM / EV - 400c 1st Cut,7814,THEO ELLINGTON,UZURI PEASE-GREENE,SHAMANN WALTON,1,7
7018,VBM / EV - 400c 1st Cut,7815,UZURI PEASE-GREENE,SHAMANN WALTON,TONY KELLY,1,7
7018,VBM / EV - 400c 1st Cut,7816,TONY KELLY,SHAMANN WALTON,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7817,UZURI PEASE-GREENE,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7818,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7821,UZURI PEASE-GREENE,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7822,UZURI PEASE-GREENE,TONY KELLY,THEO ELLINGTON,1,7
7018,VBM / EV - 400c 1st Cut,7823,UZURI PEASE-GREENE,TONY KELLY,SHAMANN WALTON,1,7
7018,VBM / EV - 400c 1st Cut,7824,UZURI PEASE-GREENE,SHAMANN WALTON,TONY KELLY,1,7
7018,VBM / EV - 400c 1st Cut,7825,SHAMANN WALTON,skipped,skipped,1,7
7018,VBM / EV - 400c 1st Cut,7826,UZURI PEASE-GREENE,skipped,skipped,1,7
7019,VBM / EV - 400c 1st Cut,9797,TONY KELLY,SHAMANN WALTON,THEO ELLINGTON,1,7
7019,VBM / EV - 400c 1st Cut,9798,GLORIA BERRY,skipped,skipped,1,7
7019,VBM / EV - 400c 1st Cut,9799,SHAMANN WALTON,UZURI PEASE-GREENE,THEO ELLINGTON,1,7
7019,VBM / EV - 400c 1st Cut,9800,SHAMANN WALTON,skipped,skipped,1,7
7019,VBM / EV - 400c 1st Cut,9801,SHAMANN WALTON,UZURI PEASE-GREENE,skipped,1,7
7019,VBM / EV - 400c 1st Cut,9802,THEO ELLINGTON,SHAMANN WALTON,skipped,1,7
