,IRV,smith_irv,Borda_PM,Borda_OM,Borda_AVG,minimax,smith_minimax,ranked_pairs,plurality,condorcet_plurality,plurality_runoff,bucklin
LtoTop,7,2,127,124,125,2,2,2,152,2,14,34
truncBalAtL,0,4,45,0,4,1,1,1,0,2,0,177
truncBalAtW,0,4,45,0,21,15,16,18,0,13,0,177
buryWinBal,0,4,38,91,52,29,29,33,0,17,0,154
boostLinBal,0,2,145,216,187,2,2,2,0,2,0,255
