file,numCands_multi,numCands_single,IRV_multi,IRV_single,approval_multi,approval_single,borda-avg_multi,borda-avg_single,borda-om_multi,borda-om_single,borda-pm_multi,borda-pm_single,bucklin_multi,bucklin_single,condorcet_multi,condorcet_single,file_multi,file_single,minimax_multi,minimax_single,plurality_multi,plurality_single,ranked-pairs_multi,ranked-pairs_single,smith-minimax_multi,smith-minimax_single,smith_irv_multi,smith_irv_single,smith_plurality_multi,smith_plurality_single,top-3-truncation_multi,top-3-truncation_single,top-two_multi,top-two_single
dumgal17-ballots/Nith_dumgal17-09.csv,10,8,['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],raw_data/scotland/processed_data/dumgal17-ballots/Nith_dumgal17-09.csv,analysis/mimic_single_party/data/dumgal17-ballots/Nith_dumgal17-09.csv,['Elaine MURRAY (Lab)'],['Lab'],['Malcolm JOHNSTONE (Con)'],['Con'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab'],['Malcolm JOHNSTONE (Con)'],['Lab'],['Elaine MURRAY (Lab)'],['Lab']
dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,7,6,['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Richard BRODIE (LD)'],['LD'],['Richard BRODIE (LD)'],['LD'],['Ian CARRUTHERS (Con)'],['Con'],['Richard BRODIE (LD)'],['LD'],['Ian CARRUTHERS (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,analysis/mimic_single_party/data/dumgal17-ballots/AnnandaleSouth_dumgal17-10.csv,['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con'],['Ian CARRUTHERS (Con)'],['Con']
dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,5,4,['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Gail MACGREGOR (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Gail MACGREGOR (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,analysis/mimic_single_party/data/dumgal17-ballots/AnnandaleNorth_dumgal17-11.csv,['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con'],['Doug FAIRBAIRN (Con)'],['Con']
dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,9,7,['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['Jim MCCOLM (Ind)'],['Jim MCCOLM (Ind)'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,analysis/mimic_single_party/data/dumgal17-ballots/MidGallowayandWigtownWest_dumgal17-02.csv,['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con'],['David INGLIS (Con)'],['Con']
dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,6,6,['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],raw_data/scotland/processed_data/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,analysis/mimic_single_party/data/dumgal17-ballots/CastleDouglasandCrocketford_dumgal17-04.csv,['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Con'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)'],['David JAMES (Con)'],['Con'],['Iain HOWIE (Ind)'],['Iain HOWIE (Ind)']
dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,7,5,['Graham BELL (Con)'],['SNP'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],raw_data/scotland/processed_data/dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,analysis/mimic_single_party/data/dumgal17-ballots/NorthWestDumfries_dumgal17-06.csv,['David MCKIE (Lab)'],['Lab'],['Graham BELL (Con)'],['Con'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['David MCKIE (Lab)'],['Lab'],['Graham BELL (Con)'],['Lab'],['Graham BELL (Con)'],['Lab']
dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,9,9,['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Jane MAITLAND (Ind)'],['Jane MAITLAND (Ind)'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,analysis/mimic_single_party/data/dumgal17-ballots/DeeandGlenkens_dumgal17-03.csv,['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con'],['Patsy GILROY (Con)'],['Con']
dumgal17-ballots/Lochar_dumgal17-08.csv,9,6,['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/Lochar_dumgal17-08.csv,analysis/mimic_single_party/data/dumgal17-ballots/Lochar_dumgal17-08.csv,['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con'],['John CHARTERIS (Con)'],['Con']
dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,6,5,['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,analysis/mimic_single_party/data/dumgal17-ballots/AnnandaleEastandEskdale_dumgal17-12.csv,['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con'],['Karen CARRUTHERS (Con)'],['Con']
dumgal17-ballots/Abbey_dumgal17-05.csv,7,6,['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Davie STITT (Lab)'],['Lab'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],raw_data/scotland/processed_data/dumgal17-ballots/Abbey_dumgal17-05.csv,analysis/mimic_single_party/data/dumgal17-ballots/Abbey_dumgal17-05.csv,['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con'],['Ian BLAKE (Con)'],['Con']
dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,5,4,['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],raw_data/scotland/processed_data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,analysis/mimic_single_party/data/dumgal17-ballots/MidandUpperNithsdale_dumgal17-07.csv,['Jim DEMPSTER (Lab)'],['Lab'],['Matthew RONNIE (Con)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab'],['Jim DEMPSTER (Lab)'],['Lab']
dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,8,8,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],raw_data/scotland/processed_data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,analysis/mimic_single_party/data/dumgal17-ballots/StranraerandtheRhins_dumgal17-01.csv,['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)'],['Willie SCOBIE (Ind)']
"w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",9,6,['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],"raw_data/scotland/processed_data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv","analysis/mimic_single_party/data/w-lothian17-ballots/Ward2-Broxburn,UphallandWinchburgh_w-lothian17-02.csv",['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP'],['Diane CALDER (SNP)'],['SNP']
w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,7,5,['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,analysis/mimic_single_party/data/w-lothian17-ballots/Ward6-FauldhouseandtheBreichValley_w-lothian17-06.csv,['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab'],['David DODDS (Lab)'],['Lab']
w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,7,4,['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],raw_data/scotland/processed_data/w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,analysis/mimic_single_party/data/w-lothian17-ballots/Ward7-WhitburnandBlackburn_w-lothian17-07.csv,['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['SNP'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab'],['George PAUL (Lab)'],['Lab']
