file,candidate_cloned,numCands,bucklin
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Rob Baker,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Tonia Gladney,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Sylvia L. Moore,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Shenita Lloyd,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Cardi DeMonaco Jr.,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",Michael Jones,7,['Cardi DeMonaco Jr.']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",writein,6,['Sarah A. Lucido']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Harvey Curley,6,['Sarah A. Lucido']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Mary Hall-Rayford,6,['Sarah A. Lucido']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Larry Edwards,6,['Sarah A. Lucido']
"/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",Sarah A. Lucido,6,['Sarah A. Lucido']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Jim Leuthner,5,['Jim Leuthner']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Sue Budd,5,['Sue Budd']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,writein,5,['Sue Budd']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Saul Eugene,5,['Sue Budd']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,John Basill,4,['Lynette Lungay Dumalag']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,writein,4,['Lynette Lungay Dumalag']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,Lynette Lungay Dumalag,4,['Lynette Lungay Dumalag']
/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,writein,3,['Margaret Rog']
/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,Margaret Rog,3,['Margaret Rog']
/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,writein,3,['Tim Brausen']
/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,Tim Brausen,3,['Tim Brausen']
/Alaska/Alaska_11082022_HouseDistrict23.csv,"Branson, Roger L.",4,"['Allard, Jamie']"
/Alaska/Alaska_11082022_HouseDistrict23.csv,"Allard, Jamie",4,"['Allard, Jamie']"
