file,candidate_cloned,numCands,bucklin
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,Sally Gibson,10,['James Newbury']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,John Tiger Casley,10,['James Newbury']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,Sarah Dekiere,10,['James Newbury']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,Louise Crawford,10,['James Newbury']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Brighton with candidates.csv,Alicia Walker,10,['James Newbury']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,Keith Larkin,12,['Kat Theophanous']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,Kat Theophanous,12,['Kat Theophanous']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Northcote with candidates.csv,Katherine Ashton,12,['Kat Theophanous']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Werribee with candidates.csv,Josh Segrave,16,['Tim Pallas']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Werribee with candidates.csv,Kathryn Breakwell,16,['Tim Pallas']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Point Cook with candidates.csv,Terri Beech,16,['Mathew Hilakari']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Richard Peppard,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,John Kennedy,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Faith Fuhrer,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Stratton,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Ken Triantafillis,12,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Melissa Lowe,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Nick Savage,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,John Pesutto,9,['John Pesutto']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,Steph Price,11,['Nathan Lambert']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,Angelique Matias,11,['Nathan Lambert']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Preston with Candidates.csv,Gaetano Greco,11,['Nathan Lambert']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Melton with candidates.csv,Paul Blackborrow,15,['Steve McGhie']
/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Melton with candidates.csv,Jason Spencer Perera,15,['Steve McGhie']
