12 1
3227 1 0
620 1 2 0
276 1 2 7 0
90 1 2 9 0
201 1 2 10 0
98 1 2 11 0
1 1 4 0
561 1 7 0
414 1 7 2 0
713 1 7 9 0
4109 1 7 10 0
644 1 7 11 0
3 1 7 12 0
98 1 9 0
107 1 9 2 0
373 1 9 7 0
256 1 9 10 0
171 1 9 11 0
558 1 10 0
315 1 10 2 0
3414 1 10 7 0
523 1 10 9 0
383 1 10 11 0
116 1 11 0
117 1 11 2 0
478 1 11 7 0
207 1 11 9 0
271 1 11 10 0
1 1 12 0
2 1 12 10 0
71736 2 0
1214 2 1 0
1388 2 1 7 0
532 2 1 9 0
857 2 1 10 0
674 2 1 11 0
1 2 6 0
1 2 6 7 0
2340 2 7 0
2020 2 7 1 0
1059 2 7 9 0
3267 2 7 10 0
2422 2 7 11 0
1 2 8 3 0
607 2 9 0
467 2 9 1 0
1007 2 9 7 0
605 2 9 10 0
630 2 9 11 0
2005 2 10 0
1162 2 10 1 0
3524 2 10 7 0
1144 2 10 9 0
1226 2 10 11 0
1335 2 11 0
952 2 11 1 0
1913 2 11 7 0
724 2 11 9 0
955 2 11 10 0
3 2 12 0
3 3 0
1 3 2 0
1 3 6 5 0
1 3 7 1 0
1 3 10 1 0
1 4 0
1 4 7 11 0
1 4 8 6 0
1 4 10 1 0
1 4 10 7 0
1 4 11 10 0
3 6 0
1 6 1 10 0
1 6 10 7 0
1 6 10 11 0
3422 7 0
574 7 1 0
438 7 1 2 0
1 7 1 3 0
602 7 1 9 0
3354 7 1 10 0
547 7 1 11 0
789 7 2 0
245 7 2 1 0
120 7 2 9 0
509 7 2 10 0
218 7 2 11 0
1 7 4 0
160 7 9 0
378 7 9 1 0
208 7 9 2 0
1 7 9 6 0
493 7 9 10 0
270 7 9 11 0
1007 7 10 0
5055 7 10 1 0
832 7 10 2 0
1 7 10 5 0
1 7 10 6 0
1 7 10 8 0
845 7 10 9 0
865 7 10 11 0
233 7 11 0
844 7 11 1 0
296 7 11 2 0
289 7 11 9 0
636 7 11 10 0
1 7 12 10 0
3 8 0
1 8 1 0
1 8 9 10 0
855 9 0
76 9 1 0
91 9 1 2 0
198 9 1 7 0
158 9 1 10 0
106 9 1 11 0
231 9 2 0
73 9 2 1 0
127 9 2 7 0
70 9 2 10 0
73 9 2 11 0
123 9 7 0
314 9 7 1 0
140 9 7 2 0
294 9 7 10 0
425 9 7 11 0
1 9 7 12 0
80 9 10 0
144 9 10 1 0
81 9 10 2 0
245 9 10 7 0
111 9 10 11 0
99 9 11 0
198 9 11 1 0
96 9 11 2 0
137 9 11 7 0
113 9 11 10 0
1 9 12 2 0
5107 10 0
509 10 1 0
292 10 1 2 0
1 10 1 6 0
5980 10 1 7 0
363 10 1 9 0
431 10 1 11 0
771 10 2 0
213 10 2 1 0
688 10 2 7 0
202 10 2 9 0
205 10 2 11 0
1 10 5 0
2156 10 7 0
5140 10 7 1 0
1001 10 7 2 0
3 10 7 6 0
1153 10 7 9 0
1175 10 7 11 0
136 10 9 0
321 10 9 1 0
162 10 9 2 0
1049 10 9 7 0
260 10 9 11 0
156 10 11 0
303 10 11 1 0
180 10 11 2 0
570 10 11 7 0
277 10 11 9 0
2583 11 0
190 11 1 0
164 11 1 2 0
1 11 1 6 0
379 11 1 7 0
241 11 1 9 0
371 11 1 10 0
570 11 2 0
114 11 2 1 0
205 11 2 7 0
118 11 2 9 0
118 11 2 10 0
255 11 7 0
477 11 7 1 0
320 11 7 2 0
286 11 7 9 0
436 11 7 10 0
135 11 9 0
240 11 9 1 0
157 11 9 2 0
205 11 9 7 0
156 11 9 10 0
165 11 10 0
210 11 10 1 0
176 11 10 2 0
371 11 10 7 0
183 11 10 9 0
1 11 12 4 0
12 12 0
2 12 1 0
1 12 1 2 0
1 12 1 7 0
2 12 1 10 0
1 12 1 11 0
1 12 2 0
1 12 2 11 0
2 12 7 1 0
2 12 7 2 0
3 12 7 10 0
1 12 9 0
1 12 9 1 0
2 12 10 0
3 12 10 1 0
1 12 10 7 0
1 12 10 9 0
0
STUART SCHUFFMAN
ED LEE
"WRITE-IN - ROBERT L. JORDAN, JR."
WRITE-IN - KARLA GOTTSCHALK (a.k.a BELLE STARR)
WRITE-IN - IGNACIO L. NUNEZ
WRITE-IN - DANIEL C KAPPLER
AMY FARAH WEISS
WRITE-IN - JOHN E. FITCH
REED MARTIN
FRANCISCO HERRERA
KENT GRAHAM
WRITE-IN - MICHAEL PETRELIS
