5 1
167 1 0
23 1 2 0
78 1 2 3 0
77 1 2 4 0
53 1 2 5 0
39 1 3 0
75 1 3 2 0
85 1 3 4 0
92 1 3 5 0
40 1 4 0
87 1 4 2 0
126 1 4 3 0
225 1 4 5 0
37 1 5 0
77 1 5 2 0
92 1 5 3 0
234 1 5 4 0
2999 2 0
75 2 1 0
272 2 1 3 0
269 2 1 4 0
201 2 1 5 0
853 2 3 0
589 2 3 1 0
737 2 3 4 0
707 2 3 5 0
191 2 4 0
411 2 4 1 0
409 2 4 3 0
504 2 4 5 0
174 2 5 0
353 2 5 1 0
393 2 5 3 0
329 2 5 4 0
1847 3 0
90 3 1 0
220 3 1 2 0
329 3 1 4 0
418 3 1 5 0
527 3 2 0
500 3 2 1 0
582 3 2 4 0
570 3 2 5 0
110 3 4 0
400 3 4 1 0
273 3 4 2 0
374 3 4 5 0
792 3 5 0
609 3 5 1 0
425 3 5 2 0
604 3 5 4 0
531 4 0
57 4 1 0
140 4 1 2 0
197 4 1 3 0
337 4 1 5 0
44 4 2 0
148 4 2 1 0
192 4 2 3 0
130 4 2 5 0
50 4 3 0
148 4 3 1 0
167 4 3 2 0
115 4 3 5 0
55 4 5 0
458 4 5 1 0
115 4 5 2 0
135 4 5 3 0
397 5 0
66 5 1 0
108 5 1 2 0
176 5 1 3 0
306 5 1 4 0
49 5 2 0
93 5 2 1 0
138 5 2 3 0
90 5 2 4 0
93 5 3 0
165 5 3 1 0
126 5 3 2 0
143 5 3 4 0
68 5 4 0
371 5 4 1 0
114 5 4 2 0
115 5 4 3 0
0
BERTA HERNANDEZ
AHSHA SAFAI
KIM ALVARENGA
MAGDALENA DE GUZMAN
FRANCISCO HERRERA
