9 1
71 1 0
5 1 2 0
9 1 2 3 0
10 1 2 4 0
10 1 2 5 0
2 1 2 6 0
5 1 2 7 0
6 1 2 8 0
14 1 2 9 0
7 1 3 0
11 1 3 2 0
7 1 3 4 0
5 1 3 5 0
12 1 3 6 0
15 1 3 7 0
5 1 3 8 0
7 1 3 9 0
5 1 4 0
4 1 4 2 0
8 1 4 3 0
9 1 4 5 0
7 1 4 6 0
3 1 4 7 0
4 1 4 8 0
7 1 4 9 0
5 1 5 0
5 1 5 2 0
4 1 5 3 0
8 1 5 4 0
8 1 5 6 0
2 1 5 7 0
3 1 5 8 0
5 1 5 9 0
4 1 6 0
10 1 6 2 0
19 1 6 3 0
2 1 6 4 0
20 1 6 5 0
9 1 6 7 0
4 1 6 8 0
13 1 6 9 0
2 1 7 0
6 1 7 2 0
10 1 7 3 0
6 1 7 4 0
13 1 7 5 0
20 1 7 6 0
2 1 7 8 0
25 1 7 9 0
8 1 8 0
4 1 8 2 0
4 1 8 3 0
2 1 8 4 0
7 1 8 5 0
4 1 8 6 0
7 1 8 7 0
8 1 8 9 0
6 1 9 0
13 1 9 2 0
15 1 9 3 0
7 1 9 4 0
12 1 9 5 0
7 1 9 6 0
29 1 9 7 0
11 1 9 8 0
1375 2 0
12 2 1 0
26 2 1 3 0
23 2 1 4 0
14 2 1 5 0
13 2 1 6 0
20 2 1 7 0
9 2 1 8 0
33 2 1 9 0
879 2 3 0
54 2 3 1 0
249 2 3 4 0
440 2 3 5 0
224 2 3 6 0
121 2 3 7 0
454 2 3 8 0
119 2 3 9 0
90 2 4 0
43 2 4 1 0
132 2 4 3 0
102 2 4 5 0
34 2 4 6 0
60 2 4 7 0
177 2 4 8 0
40 2 4 9 0
111 2 5 0
26 2 5 1 0
191 2 5 3 0
69 2 5 4 0
24 2 5 6 0
14 2 5 7 0
211 2 5 8 0
30 2 5 9 0
21 2 6 0
20 2 6 1 0
95 2 6 3 0
29 2 6 4 0
32 2 6 5 0
20 2 6 7 0
32 2 6 8 0
19 2 6 9 0
12 2 7 0
41 2 7 1 0
38 2 7 3 0
19 2 7 4 0
21 2 7 5 0
22 2 7 6 0
24 2 7 8 0
24 2 7 9 0
332 2 8 0
59 2 8 1 0
382 2 8 3 0
257 2 8 4 0
477 2 8 5 0
85 2 8 6 0
45 2 8 7 0
63 2 8 9 0
27 2 9 0
18 2 9 1 0
25 2 9 3 0
19 2 9 4 0
18 2 9 5 0
16 2 9 6 0
14 2 9 7 0
21 2 9 8 0
2314 3 0
16 3 1 0
24 3 1 2 0
21 3 1 4 0
27 3 1 5 0
27 3 1 6 0
31 3 1 7 0
23 3 1 8 0
40 3 1 9 0
614 3 2 0
53 3 2 1 0
218 3 2 4 0
1099 3 2 5 0
208 3 2 6 0
114 3 2 7 0
393 3 2 8 0
98 3 2 9 0
50 3 4 0
22 3 4 1 0
174 3 4 2 0
53 3 4 5 0
89 3 4 6 0
28 3 4 7 0
80 3 4 8 0
26 3 4 9 0
144 3 5 0
36 3 5 1 0
197 3 5 2 0
61 3 5 4 0
62 3 5 6 0
38 3 5 7 0
141 3 5 8 0
53 3 5 9 0
108 3 6 0
55 3 6 1 0
116 3 6 2 0
109 3 6 4 0
97 3 6 5 0
143 3 6 7 0
115 3 6 8 0
81 3 6 9 0
36 3 7 0
53 3 7 1 0
44 3 7 2 0
24 3 7 4 0
42 3 7 5 0
87 3 7 6 0
71 3 7 8 0
51 3 7 9 0
200 3 8 0
44 3 8 1 0
294 3 8 2 0
93 3 8 4 0
138 3 8 5 0
139 3 8 6 0
90 3 8 7 0
71 3 8 9 0
41 3 9 0
