8 1
56 1 0
5 1 2 0
3 1 2 3 0
10 1 2 4 0
8 1 2 5 0
14 1 2 6 0
12 1 2 7 0
7 1 2 8 0
7 1 3 0
4 1 3 2 0
14 1 3 4 0
7 1 3 5 0
6 1 3 6 0
7 1 3 7 0
4 1 3 8 0
11 1 4 0
9 1 4 2 0
15 1 4 3 0
19 1 4 5 0
17 1 4 6 0
18 1 4 7 0
14 1 4 8 0
6 1 5 0
7 1 5 2 0
3 1 5 3 0
13 1 5 4 0
14 1 5 6 0
7 1 5 7 0
3 1 5 8 0
8 1 6 0
5 1 6 2 0
3 1 6 3 0
11 1 6 4 0
8 1 6 5 0
8 1 6 7 0
11 1 6 8 0
5 1 7 0
14 1 7 2 0
6 1 7 3 0
20 1 7 4 0
5 1 7 5 0
5 1 7 6 0
4 1 7 8 0
6 1 8 0
13 1 8 2 0
5 1 8 3 0
13 1 8 4 0
4 1 8 5 0
5 1 8 6 0
11 1 8 7 0
721 2 0
17 2 1 0
14 2 1 3 0
17 2 1 4 0
22 2 1 5 0
22 2 1 6 0
36 2 1 7 0
33 2 1 8 0
15 2 3 0
16 2 3 1 0
43 2 3 4 0
27 2 3 5 0
30 2 3 6 0
32 2 3 7 0
24 2 3 8 0
80 2 4 0
32 2 4 1 0
45 2 4 3 0
132 2 4 5 0
166 2 4 6 0
162 2 4 7 0
42 2 4 8 0
300 2 5 0
34 2 5 1 0
59 2 5 3 0
174 2 5 4 0
326 2 5 6 0
259 2 5 7 0
57 2 5 8 0
126 2 6 0
54 2 6 1 0
65 2 6 3 0
366 2 6 4 0
286 2 6 5 0
178 2 6 7 0
98 2 6 8 0
201 2 7 0
31 2 7 1 0
66 2 7 3 0
171 2 7 4 0
220 2 7 5 0
199 2 7 6 0
73 2 7 8 0
32 2 8 0
29 2 8 1 0
18 2 8 3 0
37 2 8 4 0
56 2 8 5 0
42 2 8 6 0
57 2 8 7 0
88 3 0
9 3 1 0
3 3 1 2 0
8 3 1 4 0
9 3 1 5 0
7 3 1 6 0
14 3 1 7 0
11 3 1 8 0
10 3 2 0
8 3 2 1 0
20 3 2 4 0
21 3 2 5 0
24 3 2 6 0
19 3 2 7 0
6 3 2 8 0
12 3 4 0
18 3 4 1 0
17 3 4 2 0
21 3 4 5 0
15 3 4 6 0
38 3 4 7 0
7 3 4 8 0
10 3 5 0
2 3 5 1 0
14 3 5 2 0
5 3 5 4 0
10 3 5 6 0
20 3 5 7 0
5 3 5 8 0
17 3 6 0
1 3 6 1 0
13 3 6 2 0
29 3 6 4 0
14 3 6 5 0
17 3 6 7 0
10 3 6 8 0
17 3 7 0
11 3 7 1 0
41 3 7 2 0
48 3 7 4 0
22 3 7 5 0
15 3 7 6 0
15 3 7 8 0
6 3 8 0
11 3 8 2 0
8 3 8 4 0
8 3 8 5 0
8 3 8 6 0
20 3 8 7 0
735 4 0
19 4 1 0
31 4 1 2 0
25 4 1 3 0
35 4 1 5 0
27 4 1 6 0
52 4 1 7 0
51 4 1 8 0
68 4 2 0
27 4 2 1 0
40 4 2 3 0
121 4 2 5 0
151 4 2 6 0
138 4 2 7 0
54 4 2 8 0
26 4 3 0
27 4 3 1 0
30 4 3 2 0
21 4 3 5 0
26 4 3 6 0
75 4 3 7 0
37 4 3 8 0
93 4 5 0
47 4 5 1 0
120 4 5 2 0
20 4 5 3 0
100 4 5 6 0
144 4 5 7 0
38 4 5 8 0
269 4 6 0
65 4 6 1 0
185 4 6 2 0
50 4 6 3 0
172 4 6 5 0
254 4 6 7 0
96 4 6 8 0
239 4 7 0
65 4 7 1 0
160 4 7 2 0
76 4 7 3 0
191 4 7 5 0
229 4 7 6 0
64 4 7 8 0
33 4 8 0
36 4 8 1 0
37 4 8 2 0
22 4 8 3 0
23 4 8 5 0
41 4 8 6 0
53 4 8 7 0
1299 5 0
10 5 1 0
23 5 1 2 0
12 5 1 3 0
38 5 1 4 0
24 5 1 6 0
35 5 1 7 0
29 5 1 8 0
251 5 2 0
72 5 2 1 0
68 5 2 3 0
194 5 2 4 0
360 5 2 6 0
277 5 2 7 0
106 5 2 8 0
12 5 3 0
8 5 3 1 0
28 5 3 2 0
29 5 3 4 0
20 5 3 6 0
52 5 3 7 0
17 5 3 8 0
95 5 4 0
70 5 4 1 0
217 5 4 2 0
35 5 4 3 0
247 5 4 6 0
204 5 4 7 0
36 5 4 8 0
197 5 6 0
59 5 6 1 0
337 5 6 2 0
54 5 6 3 0
307 5 6 4 0
291 5 6 7 0
126 5 6 8 0
288 5 7 0
