7 1
385 1 0
94 1 2 0
38 1 2 3 0
93 1 2 4 0
48 1 2 5 0
108 1 2 6 0
2 1 3 0
14 1 3 2 0
11 1 3 4 0
13 1 3 5 0
8 1 3 6 0
23 1 4 0
57 1 4 2 0
25 1 4 3 0
25 1 4 5 0
48 1 4 6 0
13 1 5 0
30 1 5 2 0
13 1 5 3 0
29 1 5 4 0
25 1 5 6 0
84 1 6 0
92 1 6 2 0
24 1 6 3 0
106 1 6 4 0
47 1 6 5 0
1097 2 0
428 2 1 0
74 2 1 3 0
130 2 1 4 0
84 2 1 5 0
160 2 1 6 0
1 2 1 7 0
21 2 3 0
31 2 3 1 0
33 2 3 4 0
15 2 3 5 0
9 2 3 6 0
92 2 4 0
106 2 4 1 0
117 2 4 3 0
608 2 4 5 0
120 2 4 6 0
129 2 5 0
96 2 5 1 0
93 2 5 3 0
303 2 5 4 0
168 2 5 6 0
179 2 6 0
174 2 6 1 0
41 2 6 3 0
131 2 6 4 0
129 2 6 5 0
31 3 0
6 3 1 0
8 3 1 2 0
7 3 1 4 0
6 3 1 5 0
8 3 1 6 0
6 3 2 0
13 3 2 1 0
9 3 2 4 0
6 3 2 5 0
6 3 2 6 0
7 3 4 0
8 3 4 1 0
11 3 4 2 0
29 3 4 5 0
6 3 4 6 0
7 3 5 0
6 3 5 1 0
8 3 5 2 0
20 3 5 4 0
8 3 5 6 0
2 3 6 0
2 3 6 1 0
2 3 6 2 0
6 3 6 4 0
6 3 6 5 0
1042 4 0
38 4 1 0
65 4 1 2 0
36 4 1 3 0
32 4 1 5 0
66 4 1 6 0
116 4 2 0
94 4 2 1 0
190 4 2 3 0
1063 4 2 5 0
88 4 2 6 0
27 4 3 0
29 4 3 1 0
40 4 3 2 0
96 4 3 5 0
21 4 3 6 0
138 4 5 0
74 4 5 1 0
742 4 5 2 0
431 4 5 3 0
217 4 5 6 0
95 4 6 0
114 4 6 1 0
86 4 6 2 0
55 4 6 3 0
189 4 6 5 0
634 5 0
25 5 1 0
35 5 1 2 0
16 5 1 3 0
38 5 1 4 0
46 5 1 6 0
119 5 2 0
78 5 2 1 0
51 5 2 3 0
322 5 2 4 0
177 5 2 6 0
13 5 3 0
31 5 3 1 0
19 5 3 2 0
31 5 3 4 0
21 5 3 6 0
101 5 4 0
65 5 4 1 0
378 5 4 2 0
130 5 4 3 0
222 5 4 6 0
128 5 6 0
103 5 6 1 0
162 5 6 2 0
22 5 6 3 0
269 5 6 4 0
1637 6 0
255 6 1 0
209 6 1 2 0
82 6 1 3 0
196 6 1 4 0
152 6 1 5 0
127 6 2 0
197 6 2 1 0
26 6 2 3 0
136 6 2 4 0
151 6 2 5 0
9 6 3 0
33 6 3 1 0
13 6 3 2 0
18 6 3 4 0
19 6 3 5 0
166 6 4 0
243 6 4 1 0
169 6 4 2 0
75 6 4 3 0
295 6 4 5 0
192 6 5 0
212 6 5 1 0
196 6 5 2 0
32 6 5 3 0
293 6 5 4 0
1 6 7 0
2 7 0
0
David Ferguson
Jaynry Mak
Houston Zheng
Ed Jew
Doug Chan
Ron Dudum
Write-In
