7 1
327 1 0
22 1 2 0
33 1 2 3 0
57 1 2 4 0
99 1 2 5 0
37 1 2 6 0
83 1 2 7 0
9 1 3 0
20 1 3 2 0
21 1 3 4 0
22 1 3 5 0
15 1 3 6 0
10 1 3 7 0
55 1 4 0
77 1 4 2 0
31 1 4 3 0
103 1 4 5 0
29 1 4 6 0
106 1 4 7 0
37 1 5 0
77 1 5 2 0
30 1 5 3 0
81 1 5 4 0
48 1 5 6 0
81 1 5 7 0
12 1 6 0
24 1 6 2 0
7 1 6 3 0
18 1 6 4 0
49 1 6 5 0
32 1 6 7 0
36 1 7 0
59 1 7 2 0
12 1 7 3 0
71 1 7 4 0
137 1 7 5 0
45 1 7 6 0
188 2 0
23 2 1 0
27 2 1 3 0
48 2 1 4 0
70 2 1 5 0
31 2 1 6 0
45 2 1 7 0
3 2 3 0
13 2 3 1 0
5 2 3 4 0
10 2 3 5 0
5 2 3 6 0
3 2 3 7 0
28 2 4 0
56 2 4 1 0
11 2 4 3 0
82 2 4 5 0
14 2 4 6 0
53 2 4 7 0
27 2 5 0
68 2 5 1 0
13 2 5 3 0
76 2 5 4 0
25 2 5 6 0
58 2 5 7 0
7 2 6 0
15 2 6 1 0
16 2 6 4 0
31 2 6 5 0
37 2 6 7 0
28 2 7 0
43 2 7 1 0
2 2 7 3 0
47 2 7 4 0
89 2 7 5 0
83 2 7 6 0
17 3 0
2 3 1 0
7 3 1 2 0
3 3 1 4 0
5 3 1 5 0
5 3 1 6 0
4 3 1 7 0
3 3 2 0
2 3 2 1 0
3 3 2 4 0
4 3 2 5 0
4 3 2 6 0
1 3 2 7 0
2 3 4 0
2 3 4 1 0
1 3 4 2 0
4 3 4 5 0
2 3 4 6 0
6 3 4 7 0
1 3 5 0
3 3 5 1 0
2 3 5 2 0
1 3 5 4 0
4 3 5 6 0
3 3 5 7 0
1 3 6 0
3 3 6 1 0
3 3 6 2 0
4 3 6 4 0
3 3 6 5 0
3 3 6 7 0
1 3 7 0
4 3 7 1 0
3 3 7 2 0
4 3 7 4 0
7 3 7 5 0
5 3 7 6 0
2961 4 0
172 4 1 0
285 4 1 2 0
130 4 1 3 0
456 4 1 5 0
92 4 1 6 0
241 4 1 7 0
125 4 2 0
211 4 2 1 0
66 4 2 3 0
459 4 2 5 0
95 4 2 6 0
231 4 2 7 0
29 4 3 0
52 4 3 1 0
54 4 3 2 0
71 4 3 5 0
20 4 3 6 0
22 4 3 7 0
668 4 5 0
606 4 5 1 0
584 4 5 2 0
166 4 5 3 0
298 4 5 6 0
721 4 5 7 0
49 4 6 0
63 4 6 1 0
56 4 6 2 0
27 4 6 3 0
187 4 6 5 0
115 4 6 7 0
388 4 7 0
254 4 7 1 0
254 4 7 2 0
32 4 7 3 0
1168 4 7 5 0
407 4 7 6 0
285 5 0
56 5 1 0
89 5 1 2 0
32 5 1 3 0
91 5 1 4 0
42 5 1 6 0
117 5 1 7 0
37 5 2 0
104 5 2 1 0
21 5 2 3 0
103 5 2 4 0
29 5 2 6 0
83 5 2 7 0
2 5 3 0
9 5 3 1 0
10 5 3 2 0
7 5 3 4 0
1 5 3 6 0
8 5 3 7 0
120 5 4 0
141 5 4 1 0
114 5 4 2 0
26 5 4 3 0
58 5 4 6 0
239 5 4 7 0
17 5 6 0
30 5 6 1 0
35 5 6 2 0
5 5 6 3 0
45 5 6 4 0
78 5 6 7 0
120 5 7 0
170 5 7 1 0
174 5 7 2 0
17 5 7 3 0
229 5 7 4 0
120 5 7 6 0
239 6 0
22 6 1 0
36 6 1 2 0
9 6 1 3 0
24 6 1 4 0
46 6 1 5 0
37 6 1 7 0
16 6 2 0
41 6 2 1 0
7 6 2 3 0
20 6 2 4 0
22 6 2 5 0
22 6 2 7 0
4 6 3 0
1 6 3 1 0
2 6 3 2 0
4 6 3 4 0
3 6 3 5 0
5 6 3 7 0
28 6 4 0
19 6 4 1 0
24 6 4 2 0
5 6 4 3 0
38 6 4 5 0
62 6 4 7 0
33 6 5 0
29 6 5 1 0
37 6 5 2 0
3 6 5 3 0
33 6 5 4 0
64 6 5 7 0
135 6 7 0
87 6 7 1 0
64 6 7 2 0
8 6 7 3 0
149 6 7 4 0
217 6 7 5 0
1478 7 0
78 7 1 0
251 7 1 2 0
26 7 1 3 0
118 7 1 4 0
315 7 1 5 0
132 7 1 6 0
77 7 2 0
158 7 2 1 0
11 7 2 3 0
117 7 2 4 0
265 7 2 5 0
107 7 2 6 0
6 7 3 0
8 7 3 1 0
9 7 3 2 0
8 7 3 4 0
8 7 3 5 0
7 7 3 6 0
281 7 4 0
178 7 4 1 0
194 7 4 2 0
22 7 4 3 0
557 7 4 5 0
404 7 4 6 0
241 7 5 0
359 7 5 1 0
371 7 5 2 0
20 7 5 3 0
405 7 5 4 0
361 7 5 6 0
431 7 6 0
235 7 6 1 0
246 7 6 2 0
23 7 6 3 0
574 7 6 4 0
908 7 6 5 0
0
David Heller
Leanna Dawydiak
Jeffrey S. Freebairn
Jake McGoldrick
Matt Tuchow
Rose Tsui
Lillian Sing
