23 1
13013 1 0
14 1 2 0
12 1 2 4 0
12 1 2 5 0
10 1 2 6 0
4 1 2 7 0
6 1 2 9 0
6 1 2 11 0
8 1 2 15 0
11 1 2 16 0
4 1 2 17 0
29 1 2 18 0
4 1 2 19 0
11 1 2 20 0
26 1 2 21 0
7 1 2 22 0
671 1 4 0
39 1 4 2 0
14 1 4 5 0
293 1 4 6 0
122 1 4 7 0
266 1 4 9 0
456 1 4 11 0
1 1 4 14 0
413 1 4 15 0
244 1 4 16 0
434 1 4 17 0
67 1 4 18 0
437 1 4 19 0
28 1 4 20 0
48 1 4 21 0
124 1 4 22 0
5 1 5 0
4 1 5 2 0
4 1 5 4 0
4 1 5 6 0
9 1 5 7 0
5 1 5 9 0
4 1 5 11 0
9 1 5 15 0
9 1 5 16 0
5 1 5 17 0
4 1 5 18 0
12 1 5 19 0
6 1 5 20 0
17 1 5 21 0
8 1 5 22 0
339 1 6 0
17 1 6 2 0
266 1 6 4 0
9 1 6 5 0
62 1 6 7 0
145 1 6 9 0
90 1 6 11 0
115 1 6 15 0
123 1 6 16 0
103 1 6 17 0
34 1 6 18 0
145 1 6 19 0
24 1 6 20 0
26 1 6 21 0
29 1 6 22 0
259 1 7 0
13 1 7 2 0
106 1 7 4 0
12 1 7 5 0
46 1 7 6 0
260 1 7 9 0
93 1 7 11 0
750 1 7 15 0
37 1 7 16 0
174 1 7 17 0
22 1 7 18 0
93 1 7 19 0
16 1 7 20 0
284 1 7 21 0
59 1 7 22 0
606 1 9 0
19 1 9 2 0
338 1 9 4 0
14 1 9 5 0
198 1 9 6 0
363 1 9 7 0
211 1 9 11 0
1093 1 9 15 0
132 1 9 16 0
378 1 9 17 0
24 1 9 18 0
325 1 9 19 0
14 1 9 20 0
175 1 9 21 0
173 1 9 22 0
1 1 9 23 0
537 1 11 0
29 1 11 2 0
488 1 11 4 0
6 1 11 5 0
82 1 11 6 0
122 1 11 7 0
231 1 11 9 0
548 1 11 15 0
141 1 11 16 0
255 1 11 17 0
29 1 11 18 0
654 1 11 19 0
9 1 11 20 0
23 1 11 21 0
163 1 11 22 0
1 1 14 0
1 1 14 4 0
1 1 14 15 0
2267 1 15 0
21 1 15 2 0
656 1 15 4 0
