22 1
60 1 0
2 1 2 0
1 1 2 3 0
1 1 2 5 0
1 1 2 17 0
1 1 2 20 0
1 1 3 6 0
1 1 3 8 0
3 1 3 10 0
1 1 3 11 0
1 1 3 17 0
1 1 3 22 0
1 1 4 3 0
1 1 4 12 0
1 1 4 20 0
1 1 5 0
2 1 5 14 0
1 1 5 17 0
7 1 6 0
3 1 6 2 0
2 1 6 7 0
7 1 6 8 0
5 1 6 9 0
1 1 6 10 0
1 1 6 13 0
2 1 6 14 0
2 1 6 17 0
12 1 6 18 0
1 1 6 19 0
1 1 6 20 0
1 1 6 21 0
2 1 7 0
1 1 7 3 0
1 1 7 6 0
1 1 7 8 0
1 1 7 12 0
1 1 7 14 0
1 1 7 17 0
1 1 7 18 0
1 1 7 19 0
1 1 7 20 0
1 1 7 21 0
1 1 8 0
1 1 8 2 0
1 1 8 3 0
2 1 8 5 0
2 1 8 6 0
1 1 8 7 0
1 1 8 9 0
8 1 8 14 0
3 1 8 17 0
9 1 8 18 0
3 1 8 21 0
2 1 9 0
2 1 9 8 0
2 1 9 14 0
1 1 9 20 0
1 1 9 21 0
1 1 10 0
1 1 10 2 0
1 1 10 7 0
1 1 10 11 0
1 1 10 17 0
1 1 10 18 0
1 1 10 19 0
1 1 11 0
2 1 11 2 0
1 1 11 6 0
2 1 11 7 0
1 1 11 8 0
1 1 11 14 0
1 1 11 18 0
1 1 11 20 0
1 1 13 8 0
23 1 14 0
2 1 14 3 0
2 1 14 4 0
6 1 14 6 0
6 1 14 7 0
14 1 14 8 0
2 1 14 9 0
2 1 14 11 0
11 1 14 17 0
5 1 14 18 0
1 1 14 19 0
5 1 14 20 0
1 1 14 21 0
1 1 16 6 0
1 1 16 10 0
1 1 16 20 0
2 1 17 0
2 1 17 3 0
1 1 17 4 0
7 1 17 6 0
5 1 17 7 0
3 1 17 8 0
1 1 17 10 0
2 1 17 11 0
1 1 17 12 0
11 1 17 14 0
10 1 17 18 0
1 1 17 19 0
3 1 17 21 0
10 1 18 0
1 1 18 2 0
31 1 18 6 0
4 1 18 7 0
22 1 18 8 0
1 1 18 9 0
1 1 18 10 0
6 1 18 14 0
14 1 18 17 0
2 1 18 19 0
1 1 19 0
1 1 19 3 0
1 1 19 4 0
1 1 19 6 0
2 1 19 7 0
1 1 19 18 0
1 1 19 20 0
2 1 20 8 0
1 1 20 17 0
1 1 21 0
1 1 21 4 0
5 1 21 6 0
1 1 21 8 0
1 1 21 14 0
4 1 21 18 0
1 1 21 20 0
1 1 22 11 0
1 1 22 17 0
1 1 22 18 0
89 2 0
1 2 1 7 0
1 2 1 19 0
1 2 1 20 0
1 2 1 21 0
1 2 3 4 0
1 2 3 5 0
2 2 3 6 0
1 2 3 8 0
2 2 3 10 0
1 2 3 18 0
2 2 3 19 0
2 2 4 0
1 2 4 3 0
1 2 5 0
1 2 5 7 0
1 2 5 8 0
1 2 5 11 0
2 2 5 14 0
1 2 5 17 0
1 2 5 21 0
7 2 6 0
1 2 6 1 0
2 2 6 3 0
1 2 6 5 0
4 2 6 7 0
1 2 6 8 0
2 2 6 10 0
1 2 6 12 0
2 2 6 14 0
2 2 6 16 0
4 2 6 18 0
1 2 6 19 0
2 2 6 20 0
2 2 6 21 0
1 2 7 0
2 2 7 6 0
1 2 7 8 0
1 2 7 11 0
1 2 7 14 0
2 2 7 17 0
2 2 7 18 0
1 2 7 19 0
1 2 7 22 0
3 2 8 0
1 2 8 5 0
2 2 8 7 0
1 2 8 9 0
1 2 8 16 0
1 2 8 17 0
1 2 8 19 0
1 2 9 3 0
2 2 9 5 0
1 2 9 10 0
1 2 9 17 0
1 2 9 20 0
1 2 10 0
1 2 10 1 0
2 2 10 6 0
2 2 10 7 0
1 2 10 8 0
2 2 10 13 0
1 2 10 21 0
2 2 12 0
1 2 12 3 0
1 2 12 8 0
1 2 12 13 0
1 2 12 16 0
1 2 12 17 0
1 2 12 20 0
1 2 13 3 0
2 2 13 17 0
1 2 14 0
2 2 14 1 0
3 2 14 3 0
3 2 14 5 0
5 2 14 6 0
2 2 14 8 0
1 2 14 9 0
1 2 14 11 0
2 2 14 17 0
2 2 14 18 0
1 2 14 20 0
2 2 14 21 0
2 2 16 0
2 2 16 3 0
1 2 16 5 0
1 2 16 6 0
2 2 16 19 0
1 2 17 0
1 2 17 1 0
1 2 17 3 0
2 2 17 4 0
2 2 17 8 0
2 2 17 9 0
1 2 17 10 0
1 2 17 12 0
2 2 17 18 0
2 2 17 20 0
2 2 18 0
1 2 18 1 0
1 2 18 3 0
1 2 18 5 0
5 2 18 6 0
2 2 18 7 0
1 2 18 9 0
3 2 18 13 0
2 2 18 17 0
1 2 18 19 0
3 2 18 21 0
1 2 19 0
3 2 19 4 0
2 2 19 5 0
2 2 19 14 0
1 2 19 17 0
2 2 19 18 0
3 2 19 21 0
1 2 19 22 0
4 2 20 0
2 2 20 9 0
1 2 20 14 0
1 2 20 17 0
1 2 21 1 0
3 2 21 4 0
1 2 21 6 0
2 2 21 7 0
1 2 21 8 0
1 2 21 12 0
1 2 21 14 0
1 2 21 16 0
6 2 21 17 0
3 2 21 19 0
1 2 21 20 0
1 2 22 4 0
1 2 22 16 0
95 3 0
3 3 1 14 0
1 3 1 18 0
1 3 1 19 0
1 3 1 20 0
1 3 2 0
2 3 2 5 0
1 3 2 6 0
1 3 2 7 0
