10 1
27 1 0
1 1 2 10 0
1 1 4 5 0
1 1 4 6 0
1 1 7 4 0
2 1 9 0
1 1 9 4 0
1 1 9 10 0
128 2 0
2 2 1 0
2 2 3 0
5 2 3 4 0
1 2 3 5 0
1 2 3 6 0
1 2 3 7 0
3 2 3 8 0
1 2 3 9 0
2 2 3 10 0
35 2 4 0
1 2 4 1 0
27 2 4 3 0
48 2 4 5 0
35 2 4 6 0
30 2 4 7 0
52 2 4 8 0
42 2 4 9 0
78 2 4 10 0
17 2 5 0
1 2 5 3 0
38 2 5 4 0
6 2 5 6 0
7 2 5 7 0
18 2 5 8 0
12 2 5 9 0
41 2 5 10 0
10 2 6 0
2 2 6 3 0
15 2 6 4 0
9 2 6 5 0
16 2 6 7 0
7 2 6 8 0
8 2 6 9 0
16 2 6 10 0
13 2 7 0
4 2 7 3 0
19 2 7 4 0
6 2 7 5 0
6 2 7 6 0
5 2 7 8 0
14 2 7 9 0
10 2 7 10 0
5 2 8 0
9 2 8 3 0
20 2 8 4 0
11 2 8 5 0
3 2 8 6 0
4 2 8 7 0
9 2 8 9 0
6 2 8 10 0
30 2 9 0
3 2 9 3 0
39 2 9 4 0
29 2 9 5 0
8 2 9 6 0
11 2 9 7 0
19 2 9 8 0
26 2 9 10 0
39 2 10 0
5 2 10 3 0
37 2 10 4 0
44 2 10 5 0
21 2 10 6 0
21 2 10 7 0
8 2 10 8 0
34 2 10 9 0
29 3 0
1 3 1 0
10 3 2 4 0
2 3 2 6 0
2 3 2 7 0
3 3 2 8 0
3 3 2 9 0
1 3 2 10 0
3 3 4 0
9 3 4 2 0
2 3 4 5 0
4 3 4 6 0
5 3 4 8 0
3 3 4 9 0
3 3 4 10 0
2 3 5 0
1 3 5 2 0
1 3 5 8 0
1 3 5 9 0
3 3 6 0
1 3 6 2 0
1 3 6 4 0
4 3 6 7 0
4 3 6 8 0
5 3 6 9 0
3 3 6 10 0
1 3 7 2 0
1 3 7 5 0
3 3 7 6 0
1 3 7 9 0
3 3 7 10 0
1 3 8 0
11 3 8 2 0
7 3 8 4 0
8 3 8 5 0
2 3 8 6 0
3 3 8 9 0
6 3 9 0
2 3 9 2 0
5 3 9 4 0
7 3 9 5 0
1 3 9 6 0
1 3 9 7 0
4 3 9 8 0
7 3 9 10 0
2 3 10 0
2 3 10 2 0
4 3 10 4 0
4 3 10 5 0
3 3 10 6 0
3 3 10 7 0
1 3 10 8 0
5 3 10 9 0
414 4 0
3 4 1 0
54 4 2 0
3 4 2 1 0
29 4 2 3 0
95 4 2 5 0
60 4 2 6 0
