voter_id,rank1,rank2,rank3,rank4,num_positions
0,Helen COFFEY (SNP),skipped,skipped,skipped,3
1,Helen COFFEY (SNP),skipped,skipped,skipped,3
2,Helen COFFEY (SNP),skipped,skipped,skipped,3
3,Helen COFFEY (SNP),skipped,skipped,skipped,3
4,Helen COFFEY (SNP),skipped,skipped,skipped,3
5,Helen COFFEY (SNP),skipped,skipped,skipped,3
6,Helen COFFEY (SNP),skipped,skipped,skipped,3
7,Helen COFFEY (SNP),skipped,skipped,skipped,3
8,Helen COFFEY (SNP),skipped,skipped,skipped,3
9,Helen COFFEY (SNP),skipped,skipped,skipped,3
10,Helen COFFEY (SNP),skipped,skipped,skipped,3
11,Helen COFFEY (SNP),skipped,skipped,skipped,3
12,Helen COFFEY (SNP),skipped,skipped,skipped,3
13,Helen COFFEY (SNP),skipped,skipped,skipped,3
14,Helen COFFEY (SNP),skipped,skipped,skipped,3
15,Helen COFFEY (SNP),skipped,skipped,skipped,3
16,Helen COFFEY (SNP),skipped,skipped,skipped,3
17,Helen COFFEY (SNP),skipped,skipped,skipped,3
18,Helen COFFEY (SNP),skipped,skipped,skipped,3
19,Helen COFFEY (SNP),skipped,skipped,skipped,3
20,Helen COFFEY (SNP),skipped,skipped,skipped,3
21,Helen COFFEY (SNP),skipped,skipped,skipped,3
22,Helen COFFEY (SNP),skipped,skipped,skipped,3
23,Helen COFFEY (SNP),skipped,skipped,skipped,3
24,Helen COFFEY (SNP),skipped,skipped,skipped,3
25,Helen COFFEY (SNP),skipped,skipped,skipped,3
26,Helen COFFEY (SNP),skipped,skipped,skipped,3
27,Helen COFFEY (SNP),skipped,skipped,skipped,3
28,Helen COFFEY (SNP),skipped,skipped,skipped,3
29,Helen COFFEY (SNP),skipped,skipped,skipped,3
30,Helen COFFEY (SNP),skipped,skipped,skipped,3
31,Helen COFFEY (SNP),skipped,skipped,skipped,3
32,Helen COFFEY (SNP),skipped,skipped,skipped,3
33,Helen COFFEY (SNP),skipped,skipped,skipped,3
34,Helen COFFEY (SNP),skipped,skipped,skipped,3
35,Helen COFFEY (SNP),skipped,skipped,skipped,3
36,Helen COFFEY (SNP),skipped,skipped,skipped,3
37,Helen COFFEY (SNP),skipped,skipped,skipped,3
38,Helen COFFEY (SNP),skipped,skipped,skipped,3
39,Helen COFFEY (SNP),skipped,skipped,skipped,3
40,Helen COFFEY (SNP),skipped,skipped,skipped,3
41,Helen COFFEY (SNP),skipped,skipped,skipped,3
42,Helen COFFEY (SNP),skipped,skipped,skipped,3
43,Helen COFFEY (SNP),skipped,skipped,skipped,3
44,Helen COFFEY (SNP),skipped,skipped,skipped,3
45,Helen COFFEY (SNP),skipped,skipped,skipped,3
46,Helen COFFEY (SNP),skipped,skipped,skipped,3
47,Helen COFFEY (SNP),skipped,skipped,skipped,3
48,Helen COFFEY (SNP),skipped,skipped,skipped,3
49,Helen COFFEY (SNP),skipped,skipped,skipped,3
50,Helen COFFEY (SNP),skipped,skipped,skipped,3
51,Helen COFFEY (SNP),skipped,skipped,skipped,3
52,Helen COFFEY (SNP),skipped,skipped,skipped,3
53,Helen COFFEY (SNP),skipped,skipped,skipped,3
54,Helen COFFEY (SNP),skipped,skipped,skipped,3
55,Helen COFFEY (SNP),skipped,skipped,skipped,3
56,Helen COFFEY (SNP),skipped,skipped,skipped,3
57,Helen COFFEY (SNP),skipped,skipped,skipped,3
58,Helen COFFEY (SNP),skipped,skipped,skipped,3
59,Helen COFFEY (SNP),skipped,skipped,skipped,3
60,Helen COFFEY (SNP),skipped,skipped,skipped,3
61,Helen COFFEY (SNP),skipped,skipped,skipped,3
62,Helen COFFEY (SNP),skipped,skipped,skipped,3
63,Helen COFFEY (SNP),skipped,skipped,skipped,3
64,Helen COFFEY (SNP),skipped,skipped,skipped,3
65,Helen COFFEY (SNP),skipped,skipped,skipped,3
66,Helen COFFEY (SNP),skipped,skipped,skipped,3
67,Helen COFFEY (SNP),skipped,skipped,skipped,3
68,Helen COFFEY (SNP),skipped,skipped,skipped,3
69,Helen COFFEY (SNP),skipped,skipped,skipped,3
70,Helen COFFEY (SNP),skipped,skipped,skipped,3
71,Helen COFFEY (SNP),skipped,skipped,skipped,3
72,Helen COFFEY (SNP),skipped,skipped,skipped,3
73,Helen COFFEY (SNP),skipped,skipped,skipped,3
74,Helen COFFEY (SNP),skipped,skipped,skipped,3
75,Helen COFFEY (SNP),skipped,skipped,skipped,3
76,Helen COFFEY (SNP),skipped,skipped,skipped,3
77,Helen COFFEY (SNP),skipped,skipped,skipped,3
78,Helen COFFEY (SNP),skipped,skipped,skipped,3
79,Helen COFFEY (SNP),skipped,skipped,skipped,3
