ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
01014_00001_000198,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,SOLI ALPERT,RUBEN STORY,skipped,skipped,1,5
01014_00001_000197,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,ELANA AUERBACH,skipped,skipped,skipped,1,5
01014_00001_000196,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,ELANA AUERBACH,skipped,skipped,skipped,1,5
01014_00001_000195,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,skipped,skipped,skipped,skipped,1,5
01014_00001_000142,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,ELANA AUERBACH,IGOR A. TREGUB,RUBEN STORY,skipped,1,5
01014_00001_000141,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,ELANA AUERBACH,SOLI ALPERT,skipped,skipped,1,5
01014_00001_000140,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,SOLI ALPERT,IGOR A. TREGUB,skipped,skipped,1,5
01014_00001_000139,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,skipped,skipped,skipped,skipped,1,5
01014_00001_000082,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000081,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000079,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,RUBEN STORY,SOLI ALPERT,skipped,1,5
01014_00001_000076,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000075,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,ELANA AUERBACH,RUBEN STORY,skipped,skipped,1,5
01014_00001_000048,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,ELANA AUERBACH,skipped,skipped,skipped,1,5
01014_00001_000047,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,ELANA AUERBACH,RUBEN STORY,IGOR A. TREGUB,skipped,1,5
01014_00001_000032,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000031,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,skipped,skipped,skipped,skipped,1,5
01014_00001_000027,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,SOLI ALPERT,RUBEN STORY,skipped,1,5
01014_00001_000015,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,ELANA AUERBACH,skipped,skipped,skipped,1,5
01014_00001_000006,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,SOLI ALPERT,RUBEN STORY,skipped,skipped,1,5
01014_00001_000178,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,SOLI ALPERT,skipped,skipped,skipped,1,5
01014_00001_000177,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,RUBEN STORY,SOLI ALPERT,skipped,1,5
01014_00001_000176,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000175,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,skipped,skipped,skipped,skipped,1,5
01014_00001_000120,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,IGOR A. TREGUB,skipped,1,5
01014_00001_000119,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,SOLI ALPERT,IGOR A. TREGUB,RUBEN STORY,skipped,1,5
01014_00001_000086,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,ELANA AUERBACH,skipped,skipped,1,5
01014_00001_000085,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,RUBEN STORY,SOLI ALPERT,skipped,1,5
01014_00001_000084,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000083,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,SOLI ALPERT,ELANA AUERBACH,skipped,1,5
01014_00001_000078,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,skipped,skipped,skipped,1,5
01014_00001_000077,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,SOLI ALPERT,IGOR A. TREGUB,RUBEN STORY,skipped,1,5
01014_00001_000050,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,skipped,1,5
01014_00001_000049,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,ELANA AUERBACH,skipped,skipped,skipped,1,5
01014_00001_000034,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,IGOR A. TREGUB,skipped,1,5
01014_00001_000033,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,SOLI ALPERT,ELANA AUERBACH,skipped,1,5
01014_00001_000030,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,SOLI ALPERT,RUBEN STORY,ELANA AUERBACH,IGOR A. TREGUB,skipped,1,5
01014_00001_000016,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000007,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,RUBEN STORY,ELANA AUERBACH,SOLI ALPERT,skipped,1,5
01014_00001_000166,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,IGOR A. TREGUB,SOLI ALPERT,RUBEN STORY,ELANA AUERBACH,skipped,1,5
01014_00001_000165,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,skipped,skipped,skipped,skipped,1,5
01014_00001_000163,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,SOLI ALPERT,RUBEN STORY,skipped,1,5
01014_00001_000126,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,IGOR A. TREGUB,SOLI ALPERT,ELANA AUERBACH,skipped,1,5
01014_00001_000096,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,RUBEN STORY,skipped,skipped,skipped,skipped,1,5
01014_00001_000095,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,SOLI ALPERT,skipped,skipped,skipped,1,5
01014_00001_000054,BT1,Vote by Mail,"City of Berkeley, District #4",CITY COUNCILS,206900,206900,Election Office,ELANA AUERBACH,IGOR A. TREGUB,SOLI ALPERT,RUBEN STORY,skipped,1,5
