District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Tweed,Absent,40300,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40301,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40302,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40303,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40304,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40305,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40306,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40307,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40308,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40309,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40310,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40311,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40312,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40313,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40314,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40315,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40316,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40317,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40318,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40319,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40320,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40321,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40322,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40323,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40324,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40325,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40326,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40327,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40328,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40329,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40330,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40331,Formal,COLLINS Kerrie,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40332,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40333,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40334,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40335,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40336,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40337,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40338,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40339,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40340,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40341,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40342,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40343,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40344,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40345,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40346,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40347,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
Tweed,Absent,40348,Formal,GOODMAN Ron,skipped,skipped,skipped,skipped,1,6
