District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5
Fairfield,Absent,39701,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39702,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39703,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39704,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39705,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39706,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39707,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39708,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39709,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39710,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39711,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39712,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39713,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39714,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39715,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39716,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39717,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39718,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39719,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39720,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39721,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39722,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39723,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39724,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39725,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39726,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39727,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39728,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39729,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39730,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39731,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39732,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39733,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39734,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39735,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39736,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39737,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39738,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39739,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39740,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39741,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39742,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39743,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39744,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39745,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39746,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39747,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39748,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39749,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39750,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39751,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39752,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39753,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39754,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39755,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39756,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39757,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39758,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39759,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39760,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39761,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39762,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39763,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39764,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39765,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39766,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39767,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39768,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39769,Formal,LAZAR James,skipped,skipped,skipped,skipped
Fairfield,Absent,39770,Formal,LAZAR James,skipped,skipped,skipped,skipped
