District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Albury,Absent,41242,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41243,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41244,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41245,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41246,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41247,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41248,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41249,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41250,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41251,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41252,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41253,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41254,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41255,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41256,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41257,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41258,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41259,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41260,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41261,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41262,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41263,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41264,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41265,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41266,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41267,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41268,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41269,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41270,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41271,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41272,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41273,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41274,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41275,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41276,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41277,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41278,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41279,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41280,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41281,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41282,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41283,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41284,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41285,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41286,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41287,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41288,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41289,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41290,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41291,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41292,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41293,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41294,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41295,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41296,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41297,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41298,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41299,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41300,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41301,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41302,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41303,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41304,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41305,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41306,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41307,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41308,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41309,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41310,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41311,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41312,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41313,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41314,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41315,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41316,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41317,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41318,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41319,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41320,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41321,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41322,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41323,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41324,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41325,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41326,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41327,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41328,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41329,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41330,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41331,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41332,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41333,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41334,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41335,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41336,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41337,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41338,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41339,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41340,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41341,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41342,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41343,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41344,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41345,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41346,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41347,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41348,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41349,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41350,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41351,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41352,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41353,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41354,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41355,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41356,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41357,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41358,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41359,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41360,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41361,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41362,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41363,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41364,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41365,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41366,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41367,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41368,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41369,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41370,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41371,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41372,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41373,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41374,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41375,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41376,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41377,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41378,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41379,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41380,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41381,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41382,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41383,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41384,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41385,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41386,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41387,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41388,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41389,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41390,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41391,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41392,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41393,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41394,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41395,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41396,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41397,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41398,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41399,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41400,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41401,Formal,JACKSON Ross,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41402,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41403,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41404,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41405,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41406,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41407,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41408,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41409,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41410,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41411,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41412,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
Albury,Absent,41413,Formal,WADE Kym,skipped,skipped,skipped,skipped,1,6
