District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5
Oatley,Absent,40923,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40924,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40925,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40926,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40927,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40928,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40929,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40930,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40931,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40932,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40933,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40934,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40935,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40936,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40937,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40938,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40939,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40940,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40941,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40942,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40943,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40944,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40945,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40946,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40947,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40948,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40949,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40950,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40951,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40952,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40953,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40954,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40955,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40956,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40957,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40958,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40959,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40960,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40961,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40962,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40963,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40964,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40965,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40966,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40967,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40968,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40969,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40970,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40971,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40972,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40973,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40974,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40975,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40976,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40977,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40978,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40979,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40980,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40981,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40982,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40983,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40984,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40985,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40986,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40987,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40988,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40989,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40990,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40991,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40992,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40993,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40994,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40995,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40996,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40997,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40998,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,40999,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41000,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41001,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41002,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41003,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41004,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41005,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41006,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41007,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41008,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41009,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41010,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41011,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41012,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41013,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41014,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41015,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41016,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41017,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41018,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41019,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41020,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41021,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41022,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41023,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41024,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41025,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41026,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41027,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41028,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41029,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41030,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41031,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41032,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41033,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41034,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41035,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41036,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41037,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41038,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41039,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41040,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41041,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41042,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41043,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41044,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41045,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41046,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41047,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41048,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41049,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41050,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41051,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41052,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41053,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41054,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41055,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41056,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41057,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41058,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41059,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41060,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41061,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41062,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41063,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41064,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41065,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41066,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41067,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41068,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41069,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41070,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41071,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41072,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41073,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41074,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41075,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41076,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41077,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41078,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41079,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41080,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41081,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41082,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41083,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41084,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41085,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41086,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41087,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41088,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41089,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41090,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41091,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41092,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41093,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41094,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41095,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41096,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41097,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41098,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41099,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41100,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41101,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41102,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41103,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41104,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41105,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41106,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41107,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41108,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41109,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41110,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41111,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41112,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41113,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41114,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41115,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41116,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41117,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41118,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41119,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41120,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41121,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41122,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41123,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41124,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41125,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41126,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41127,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41128,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41129,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41130,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41131,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41132,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41133,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41134,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41135,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41136,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41137,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41138,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41139,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41140,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41141,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41142,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41143,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41144,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41145,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41146,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41147,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41148,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41149,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41150,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41151,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41152,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41153,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41154,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41155,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41156,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41157,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41158,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41159,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41160,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41161,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41162,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41163,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41164,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41165,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41166,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41167,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41168,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41169,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41170,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41171,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41172,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41173,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41174,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41175,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41176,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41177,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41178,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41179,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41180,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41181,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41182,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41183,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41184,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41185,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41186,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41187,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41188,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41189,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41190,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41191,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41192,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41193,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41194,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41195,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41196,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41197,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41198,Formal,COURE Mark,skipped,skipped,skipped,skipped
Oatley,Absent,41199,Formal,COURE Mark,skipped,skipped,skipped,skipped
