District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5,rank6
Auburn,Absent,37126,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37127,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37128,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37129,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37130,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37131,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37132,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37133,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37134,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37135,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37136,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37137,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37138,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37139,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37140,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37141,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37142,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37143,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37144,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37145,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37146,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37147,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37148,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37149,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37150,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37151,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37152,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37153,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37154,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37155,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37156,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37157,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37158,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37159,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37160,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37161,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37162,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37163,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37164,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37165,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37166,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37167,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37168,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37169,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37170,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37171,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37172,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37173,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37174,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37175,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37176,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37177,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37178,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37179,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37180,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37181,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37182,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37183,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37184,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37185,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37186,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37187,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37188,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37189,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37190,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37191,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37192,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37193,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37194,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37195,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37196,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37197,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37198,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37199,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37200,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37201,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37202,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37203,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37204,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37205,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37206,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37207,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37208,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37209,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37210,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37211,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37212,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37213,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37214,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37215,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37216,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37217,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37218,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37219,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37220,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37221,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37222,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37223,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37224,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37225,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37226,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37227,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37228,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37229,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37230,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37231,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
Auburn,Absent,37232,Formal,AHMED Kays,skipped,skipped,skipped,skipped,skipped
