,District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,numSeats,numCands
0,Bankstown,Absent,25187,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
1,Bankstown,Absent,25188,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
2,Bankstown,Absent,25189,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
3,Bankstown,Absent,25190,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
4,Bankstown,Absent,25191,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
5,Bankstown,Absent,25192,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
6,Bankstown,Absent,25193,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
7,Bankstown,Absent,25194,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
8,Bankstown,Absent,25195,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
9,Bankstown,Absent,25196,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
10,Bankstown,Absent,25197,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
11,Bankstown,Absent,25198,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
12,Bankstown,Absent,25199,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
13,Bankstown,Absent,25200,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
14,Bankstown,Absent,25201,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
15,Bankstown,Absent,25202,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
16,Bankstown,Absent,25203,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
17,Bankstown,Absent,25204,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
18,Bankstown,Absent,25205,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
19,Bankstown,Absent,25206,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
20,Bankstown,Absent,25207,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
21,Bankstown,Absent,25208,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
22,Bankstown,Absent,25209,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
23,Bankstown,Absent,25210,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
24,Bankstown,Absent,25211,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
25,Bankstown,Absent,25212,Formal,ABU-SAMEN Saud,skipped,skipped,skipped,1,4
26,Bankstown,Absent,25213,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
27,Bankstown,Absent,25214,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
28,Bankstown,Absent,25215,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
29,Bankstown,Absent,25216,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
30,Bankstown,Absent,25217,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
31,Bankstown,Absent,25218,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
32,Bankstown,Absent,25219,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
33,Bankstown,Absent,25220,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
34,Bankstown,Absent,25221,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
35,Bankstown,Absent,25222,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
36,Bankstown,Absent,25223,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
37,Bankstown,Absent,25224,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
38,Bankstown,Absent,25225,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
39,Bankstown,Absent,25226,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
40,Bankstown,Absent,25227,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
41,Bankstown,Absent,25228,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
42,Bankstown,Absent,25229,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
43,Bankstown,Absent,25230,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
44,Bankstown,Absent,25231,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
45,Bankstown,Absent,25232,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
46,Bankstown,Absent,25233,Formal,MIHAILUK Tania,skipped,skipped,skipped,1,4
