District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,numSeats,numCands
Mulgoa,Abbotsbury Uniting,29318,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29319,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29320,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29321,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29322,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29323,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29324,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29325,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29326,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29327,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29328,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29329,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29330,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29331,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29332,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29333,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29334,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29335,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29336,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29337,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29338,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29339,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29340,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29341,Formal,BIJOK Jessie,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29342,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29343,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29344,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
Mulgoa,Abbotsbury Uniting,29345,Formal,CARNEY Todd,skipped,skipped,skipped,1,5
