District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3
Riverstone,Absent,30612,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30613,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30614,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30615,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30616,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30617,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30618,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30619,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30620,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30621,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30622,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30623,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30624,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30625,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30626,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30627,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30628,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30629,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30630,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30631,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30632,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30633,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30634,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30635,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30636,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30637,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30638,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30639,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30640,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30641,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30642,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30643,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30644,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30645,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30646,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30647,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30648,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30649,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30650,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30651,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30652,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30653,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30654,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30655,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30656,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30657,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30658,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30659,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30660,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30661,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30662,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30663,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30664,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30665,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30666,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30667,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30668,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30669,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30670,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30671,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30672,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30673,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30674,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30675,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30676,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30677,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30678,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30679,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30680,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30681,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30682,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30683,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30684,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30685,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30686,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30687,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30688,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30689,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30690,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30691,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30692,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30693,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30694,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30695,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30696,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30697,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30698,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30699,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30700,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30701,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30702,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30703,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30704,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30705,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30706,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30707,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30708,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30709,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30710,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30711,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30712,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30713,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30714,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30715,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30716,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30717,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30718,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30719,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30720,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30721,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30722,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30723,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30724,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30725,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30726,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30727,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30728,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30729,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30730,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30731,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30732,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30733,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30734,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30735,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30736,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30737,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30738,Formal,CHRISTIE Annemarie,skipped,skipped
Riverstone,Absent,30739,Formal,CHRISTIE Annemarie,skipped,skipped
