District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4
Wyong,Absent,23047,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23048,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23049,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23050,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23051,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23052,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23053,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23054,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23055,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23056,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23057,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23058,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23059,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23060,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23061,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23062,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23063,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23064,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23065,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23066,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23067,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23068,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23069,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23070,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23071,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23072,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23073,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23074,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23075,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23076,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23077,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23078,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23079,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23080,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23081,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23082,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23083,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23084,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23085,Formal,HARRIS David,skipped,skipped,skipped
Wyong,Absent,23086,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23087,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23088,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23089,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23090,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23091,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23092,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23093,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23094,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23095,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23096,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23097,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23098,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23099,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
Wyong,Absent,23100,Formal,LI-CANTWELL Ying Shu,skipped,skipped,skipped
