District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,numSeats,numCands
Keira,Absent,28691,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28692,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28693,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28694,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28695,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28696,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28697,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28698,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28699,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28700,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28701,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28702,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28703,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28704,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28705,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28706,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28707,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28708,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28709,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28710,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28711,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28712,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28713,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28714,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28715,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28716,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28717,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28718,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28719,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28720,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28721,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28722,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28723,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28724,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28725,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28726,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28727,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28728,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28729,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28730,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28731,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28732,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28733,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
Keira,Absent,28734,Formal,ATLEE Chris,skipped,skipped,skipped,1,5
