District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5
Drummoyne,Abbotsford Public,14847,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14848,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14849,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14850,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14851,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14852,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14853,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14854,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14855,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14856,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14857,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14858,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14859,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14860,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14861,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14862,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14863,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14864,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14865,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14866,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14867,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14868,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14869,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14870,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14871,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14872,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14873,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14874,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14875,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14876,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14877,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14878,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14879,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14880,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14881,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14882,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14883,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14884,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14885,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14886,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14887,Formal,HORE Tom,skipped,skipped,skipped,skipped
Drummoyne,Abbotsford Public,14888,Formal,HORE Tom,skipped,skipped,skipped,skipped
