District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3
South Coast,Absent,28041,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28042,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28043,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28044,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28045,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28046,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28047,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28048,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28049,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28050,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28051,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28052,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28053,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28054,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28055,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28056,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28057,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28058,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28059,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28060,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28061,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28062,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28063,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28064,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28065,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28066,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28067,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28068,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28069,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28070,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28071,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28072,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28073,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28074,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28075,Formal,ALLDRICK Annette,skipped,skipped
South Coast,Absent,28076,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28077,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28078,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28079,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28080,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28081,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28082,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28083,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28084,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28085,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28086,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28087,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28088,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28089,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28090,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28091,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28092,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28093,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28094,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28095,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28096,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28097,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28098,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28099,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28100,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28101,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28102,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28103,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28104,Formal,HANCOCK Shelley,skipped,skipped
South Coast,Absent,28105,Formal,HANCOCK Shelley,skipped,skipped
