file,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval,top4_plurality,top4_IRV,top4_top-two,top4_borda-pm,top4_borda-om,top4_borda-avg,top4_top-3-truncation,top4_condorcet,top4_minimax,top4_smith_plurality,top4_smith_irv,top4_smith-minimax,top4_ranked-pairs,top4_bucklin,top4_approval
"raw_data/america/processed_data/Eastpointe, MI/Eastpointe_11022021_CityCouncil.csv",6,['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.'],['Cardi DeMonaco Jr.']
"raw_data/america/processed_data/Eastpointe, MI/Eastpointe_11052019_CityCouncil.csv",5,['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido'],['Sarah A. Lucido']
raw_data/america/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,4,['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd']
raw_data/america/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,3,['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag']
raw_data/america/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,2,['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog']
raw_data/america/processed_data/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,2,['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen']
raw_data/america/processed_data/Alaska/Alaska_11082022_HouseDistrict23.csv,3,"['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']","['Allard, Jamie']"
raw_data/america/processed_data/Alaska/Alaska_11082022_HouseDistrict37.csv,2,"['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']","['Edgmon, Bryce']"
raw_data/america/processed_data/Alaska/Alaska_11082022_HouseDistrict36.csv,3,"['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']","['Cronk, Mike']"
raw_data/america/processed_data/Alaska/Alaska_11082022_HouseDistrict22.csv,3,"['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']","['Wright, Stanley A.']"
