rank1,rank2,rank3,Num cands,Num seats
Steve Zeltzer,James Boris Perez,Renee Saucedo,7,1
Steve Zeltzer,James Boris Perez,Renee Saucedo,7,1
Steve Zeltzer,James Boris Perez,Renee Saucedo,7,1
Steve Zeltzer,James Boris Perez,Miguel Bustos,7,1
Steve Zeltzer,James Boris Perez,Miguel Bustos,7,1
Steve Zeltzer,Renee Saucedo,James Boris Perez,7,1
Steve Zeltzer,Renee Saucedo,James Boris Perez,7,1
Steve Zeltzer,Renee Saucedo,James Boris Perez,7,1
Steve Zeltzer,Renee Saucedo,Tom Ammiano,7,1
Steve Zeltzer,Renee Saucedo,Lucrecia Bermudez,7,1
Steve Zeltzer,Renee Saucedo,Miguel Bustos,7,1
Steve Zeltzer,Renee Saucedo,Miguel Bustos,7,1
Steve Zeltzer,Renee Saucedo,Miguel Bustos,7,1
Steve Zeltzer,Tom Ammiano,Renee Saucedo,7,1
Steve Zeltzer,Tom Ammiano,Miguel Bustos,7,1
Steve Zeltzer,Tom Ammiano,Miguel Bustos,7,1
Steve Zeltzer,Tom Ammiano,Miguel Bustos,7,1
Steve Zeltzer,Lucrecia Bermudez,James Boris Perez,7,1
Steve Zeltzer,Lucrecia Bermudez,Renee Saucedo,7,1
Steve Zeltzer,Lucrecia Bermudez,Miguel Bustos,7,1
Steve Zeltzer,Miguel Bustos,James Boris Perez,7,1
Steve Zeltzer,Miguel Bustos,James Boris Perez,7,1
Steve Zeltzer,Miguel Bustos,James Boris Perez,7,1
Steve Zeltzer,Miguel Bustos,James Boris Perez,7,1
Steve Zeltzer,Miguel Bustos,James Boris Perez,7,1
Steve Zeltzer,Miguel Bustos,Lucrecia Bermudez,7,1
Steve Zeltzer,skipped,skipped,7,1
Steve Zeltzer,skipped,skipped,7,1
Steve Zeltzer,skipped,skipped,7,1
James Boris Perez,Steve Zeltzer,Renee Saucedo,7,1
James Boris Perez,Steve Zeltzer,Renee Saucedo,7,1
James Boris Perez,Steve Zeltzer,Renee Saucedo,7,1
James Boris Perez,Steve Zeltzer,Lucrecia Bermudez,7,1
James Boris Perez,Steve Zeltzer,Miguel Bustos,7,1
James Boris Perez,Steve Zeltzer,Miguel Bustos,7,1
James Boris Perez,Steve Zeltzer,Miguel Bustos,7,1
James Boris Perez,Steve Zeltzer,skipped,7,1
James Boris Perez,Renee Saucedo,Steve Zeltzer,7,1
James Boris Perez,Renee Saucedo,Lucrecia Bermudez,7,1
James Boris Perez,Renee Saucedo,Lucrecia Bermudez,7,1
James Boris Perez,Renee Saucedo,Miguel Bustos,7,1
James Boris Perez,Tom Ammiano,Steve Zeltzer,7,1
James Boris Perez,Tom Ammiano,Renee Saucedo,7,1
James Boris Perez,Tom Ammiano,Renee Saucedo,7,1
James Boris Perez,Tom Ammiano,Renee Saucedo,7,1
James Boris Perez,Tom Ammiano,Renee Saucedo,7,1
James Boris Perez,Tom Ammiano,Lucrecia Bermudez,7,1
James Boris Perez,Tom Ammiano,Lucrecia Bermudez,7,1
James Boris Perez,Tom Ammiano,Miguel Bustos,7,1
James Boris Perez,Lucrecia Bermudez,Renee Saucedo,7,1
James Boris Perez,Miguel Bustos,Steve Zeltzer,7,1
James Boris Perez,Miguel Bustos,Renee Saucedo,7,1
James Boris Perez,Miguel Bustos,Renee Saucedo,7,1
James Boris Perez,Miguel Bustos,Renee Saucedo,7,1
James Boris Perez,Miguel Bustos,Tom Ammiano,7,1
James Boris Perez,Miguel Bustos,Tom Ammiano,7,1
James Boris Perez,Miguel Bustos,Tom Ammiano,7,1
James Boris Perez,Miguel Bustos,Tom Ammiano,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,Miguel Bustos,skipped,7,1
James Boris Perez,skipped,skipped,7,1
Renee Saucedo,Steve Zeltzer,James Boris Perez,7,1
Renee Saucedo,Steve Zeltzer,Miguel Bustos,7,1
Renee Saucedo,James Boris Perez,Miguel Bustos,7,1
Renee Saucedo,James Boris Perez,Miguel Bustos,7,1
Renee Saucedo,James Boris Perez,Miguel Bustos,7,1
Renee Saucedo,James Boris Perez,skipped,7,1
Renee Saucedo,Tom Ammiano,Steve Zeltzer,7,1
Renee Saucedo,Tom Ammiano,Steve Zeltzer,7,1
Renee Saucedo,Tom Ammiano,James Boris Perez,7,1
Renee Saucedo,Tom Ammiano,James Boris Perez,7,1
Renee Saucedo,Tom Ammiano,James Boris Perez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Lucrecia Bermudez,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,Miguel Bustos,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Tom Ammiano,skipped,7,1
Renee Saucedo,Lucrecia Bermudez,Steve Zeltzer,7,1
Renee Saucedo,Lucrecia Bermudez,James Boris Perez,7,1
Renee Saucedo,Lucrecia Bermudez,Tom Ammiano,7,1
Renee Saucedo,Lucrecia Bermudez,Tom Ammiano,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,Miguel Bustos,7,1
Renee Saucedo,Lucrecia Bermudez,skipped,7,1
