precincts,tally_type,ballotID,rank1,rank2,rank3,Num cands,Num seats
3825,VBM / EV - 400c 1st Cut,17068,RAFAEL MANDELMAN,SCOTT WIENER,REBECCA PROZAN,5,1
3829,VBM / EV - 400c 1st Cut,17069,RAFAEL MANDELMAN,REBECCA PROZAN,skipped,5,1
3854,VBM / EV - 400c 1st Cut,17070,SCOTT WIENER,REBECCA PROZAN,skipped,5,1
3838,VBM / EV - 400c 1st Cut,17077,REBECCA PROZAN,BILL HEMENGER,RAFAEL MANDELMAN,5,1
3834,VBM / EV - 400c 1st Cut,17080,RAFAEL MANDELMAN,REBECCA PROZAN,skipped,5,1
3843,VBM / EV - 400c 1st Cut,17081,REBECCA PROZAN,SCOTT WIENER,skipped,5,1
3803,VBM / EV - 400c 1st Cut,17086,SCOTT WIENER,skipped,skipped,5,1
3868,VBM / EV - 400c 1st Cut,17087,RAFAEL MANDELMAN,BILL HEMENGER,skipped,5,1
3849,VBM / EV - 400c 1st Cut,17091,RAFAEL MANDELMAN,skipped,skipped,5,1
3872,VBM / EV - 400c 1st Cut,17131,REBECCA PROZAN,SCOTT WIENER,skipped,5,1
3802,VBM / EV - 400c 1st Cut,17135,RAFAEL MANDELMAN,SCOTT WIENER,REBECCA PROZAN,5,1
3848,VBM / EV - 400c 1st Cut,17136,SCOTT WIENER,skipped,skipped,5,1
3821,VBM / EV - 400c 1st Cut,17141,SCOTT WIENER,REBECCA PROZAN,skipped,5,1
3838,VBM / EV - 400c 1st Cut,17142,SCOTT WIENER,REBECCA PROZAN,skipped,5,1
3823,VBM / EV - 400c 1st Cut,17150,SCOTT WIENER,RAFAEL MANDELMAN,REBECCA PROZAN,5,1
3809,VBM / EV - 400c 1st Cut,17152,REBECCA PROZAN,RAFAEL MANDELMAN,SCOTT WIENER,5,1
3866,VBM / EV - 400c 1st Cut,17153,SCOTT WIENER,BILL HEMENGER,skipped,5,1
3853,VBM / EV - 400c 1st Cut,17164,SCOTT WIENER,skipped,skipped,5,1
3813,VBM / EV - 400c 1st Cut,17175,REBECCA PROZAN,SCOTT WIENER,RAFAEL MANDELMAN,5,1
3871,VBM / EV - 400c 1st Cut,17176,RAFAEL MANDELMAN,SCOTT WIENER,skipped,5,1
3801,VBM / EV - 400c 1st Cut,17182,SCOTT WIENER,skipped,skipped,5,1
3809,VBM / EV - 400c 1st Cut,17187,REBECCA PROZAN,SCOTT WIENER,skipped,5,1
3822,VBM / EV - 400c 1st Cut,17189,REBECCA PROZAN,SCOTT WIENER,skipped,5,1
3822,VBM / EV - 400c 1st Cut,17190,SCOTT WIENER,REBECCA PROZAN,RAFAEL MANDELMAN,5,1
3836,VBM / EV - 400c 1st Cut,17191,SCOTT WIENER,RAFAEL MANDELMAN,REBECCA PROZAN,5,1
3826,VBM / EV - 400c 1st Cut,17193,SCOTT WIENER,REBECCA PROZAN,RAFAEL MANDELMAN,5,1
3829,VBM / EV - 400c 1st Cut,17194,REBECCA PROZAN,SCOTT WIENER,skipped,5,1
3835,VBM / EV - 400c 1st Cut,17195,REBECCA PROZAN,SCOTT WIENER,RAFAEL MANDELMAN,5,1
3807,VBM / EV - 400c 1st Cut,17198,RAFAEL MANDELMAN,SCOTT WIENER,skipped,5,1
3859,VBM / EV - 400c 1st Cut,17199,RAFAEL MANDELMAN,BILL HEMENGER,REBECCA PROZAN,5,1
3817,VBM / EV - 400c 1st Cut,17207,RAFAEL MANDELMAN,skipped,skipped,5,1
3826,VBM / EV - 400c 1st Cut,17208,SCOTT WIENER,REBECCA PROZAN,BILL HEMENGER,5,1
3856,VBM / EV - 400c 1st Cut,17235,SCOTT WIENER,skipped,skipped,5,1
3872,VBM / EV - 400c 1st Cut,17238,SCOTT WIENER,BILL HEMENGER,skipped,5,1
3816,VBM / EV - 400c 1st Cut,17242,SCOTT WIENER,skipped,skipped,5,1
