rank1,rank2,rank3,Num cands,Num seats
Sophie Maxwell,skipped,skipped,7,1
Espanola Jackson,skipped,skipped,7,1
Sophie Maxwell,Marie L. Harrison,Dwayne Jusino,7,1
Espanola Jackson,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Charlie Walker,Rodney Hampton Jr.,Espanola Jackson,7,1
Marie L. Harrison,Sala Chandler,Dwayne Jusino,7,1
Rodney Hampton Jr.,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Rodney Hampton Jr.,skipped,7,1
Sophie Maxwell,Marie L. Harrison,Charlie Walker,7,1
Dwayne Jusino,Sophie Maxwell,skipped,7,1
Espanola Jackson,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Rodney Hampton Jr.,skipped,skipped,7,1
Sala Chandler,Dwayne Jusino,Marie L. Harrison,7,1
Dwayne Jusino,Espanola Jackson,skipped,7,1
Sala Chandler,Marie L. Harrison,skipped,7,1
Dwayne Jusino,Sophie Maxwell,Rodney Hampton Jr.,7,1
Charlie Walker,Sophie Maxwell,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Espanola Jackson,Sophie Maxwell,Charlie Walker,7,1
Espanola Jackson,Sophie Maxwell,skipped,7,1
Dwayne Jusino,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Espanola Jackson,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Rodney Hampton Jr.,Charlie Walker,Sophie Maxwell,7,1
Sophie Maxwell,Rodney Hampton Jr.,Sala Chandler,7,1
Espanola Jackson,Rodney Hampton Jr.,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Rodney Hampton Jr.,Espanola Jackson,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Rodney Hampton Jr.,Marie L. Harrison,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Dwayne Jusino,Rodney Hampton Jr.,7,1
Espanola Jackson,Charlie Walker,Sophie Maxwell,7,1
Espanola Jackson,Charlie Walker,Sophie Maxwell,7,1
Sophie Maxwell,skipped,skipped,7,1
Dwayne Jusino,Marie L. Harrison,Espanola Jackson,7,1
Rodney Hampton Jr.,Espanola Jackson,skipped,7,1
Sophie Maxwell,Espanola Jackson,Marie L. Harrison,7,1
Sala Chandler,Dwayne Jusino,Espanola Jackson,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Rodney Hampton Jr.,Dwayne Jusino,7,1
Sophie Maxwell,Dwayne Jusino,Rodney Hampton Jr.,7,1
Espanola Jackson,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Espanola Jackson,Charlie Walker,Dwayne Jusino,7,1
Sophie Maxwell,Dwayne Jusino,Espanola Jackson,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Rodney Hampton Jr.,Dwayne Jusino,7,1
Dwayne Jusino,skipped,skipped,7,1
Rodney Hampton Jr.,skipped,skipped,7,1
Rodney Hampton Jr.,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,skipped,skipped,7,1
Sophie Maxwell,Marie L. Harrison,Sala Chandler,7,1
Sala Chandler,Rodney Hampton Jr.,Sophie Maxwell,7,1
Marie L. Harrison,Espanola Jackson,skipped,7,1
Sala Chandler,Dwayne Jusino,Rodney Hampton Jr.,7,1
Dwayne Jusino,Espanola Jackson,Sophie Maxwell,7,1
