voterId,rank1,rank2,rank3,rank4,numSeats,numCands
151,Con,skipped,skipped,skipped,3,4
152,Con,skipped,skipped,skipped,3,4
153,Con,skipped,skipped,skipped,3,4
154,Con,skipped,skipped,skipped,3,4
155,Con,skipped,skipped,skipped,3,4
156,Con,skipped,skipped,skipped,3,4
157,Con,skipped,skipped,skipped,3,4
158,Con,skipped,skipped,skipped,3,4
159,Con,skipped,skipped,skipped,3,4
160,Con,skipped,skipped,skipped,3,4
161,Con,skipped,skipped,skipped,3,4
162,Con,skipped,skipped,skipped,3,4
163,Con,skipped,skipped,skipped,3,4
164,Con,skipped,skipped,skipped,3,4
165,Con,skipped,skipped,skipped,3,4
166,Con,skipped,skipped,skipped,3,4
167,Con,skipped,skipped,skipped,3,4
168,Con,skipped,skipped,skipped,3,4
169,Con,skipped,skipped,skipped,3,4
170,Con,skipped,skipped,skipped,3,4
171,Con,skipped,skipped,skipped,3,4
172,Con,skipped,skipped,skipped,3,4
173,Con,skipped,skipped,skipped,3,4
174,Con,skipped,skipped,skipped,3,4
175,Con,skipped,skipped,skipped,3,4
176,Con,skipped,skipped,skipped,3,4
177,Con,skipped,skipped,skipped,3,4
178,Con,skipped,skipped,skipped,3,4
179,Con,skipped,skipped,skipped,3,4
180,Con,skipped,skipped,skipped,3,4
181,Con,skipped,skipped,skipped,3,4
182,Con,skipped,skipped,skipped,3,4
183,Con,skipped,skipped,skipped,3,4
184,Con,skipped,skipped,skipped,3,4
185,Con,skipped,skipped,skipped,3,4
186,Con,skipped,skipped,skipped,3,4
187,Con,skipped,skipped,skipped,3,4
188,Con,skipped,skipped,skipped,3,4
189,Con,skipped,skipped,skipped,3,4
190,Con,skipped,skipped,skipped,3,4
191,Con,skipped,skipped,skipped,3,4
192,Con,skipped,skipped,skipped,3,4
193,Con,skipped,skipped,skipped,3,4
194,Con,skipped,skipped,skipped,3,4
195,Con,skipped,skipped,skipped,3,4
196,Con,skipped,skipped,skipped,3,4
197,Con,skipped,skipped,skipped,3,4
198,Con,skipped,skipped,skipped,3,4
199,Con,skipped,skipped,skipped,3,4
200,Con,skipped,skipped,skipped,3,4
201,Con,SNP,skipped,skipped,3,4
202,Con,SNP,skipped,skipped,3,4
203,Con,SNP,skipped,skipped,3,4
204,Con,SNP,skipped,skipped,3,4
205,Con,SNP,skipped,skipped,3,4
206,Con,SNP,skipped,skipped,3,4
207,Con,SNP,skipped,skipped,3,4
208,Con,SNP,skipped,skipped,3,4
209,Con,SNP,skipped,skipped,3,4
210,Con,SNP,skipped,skipped,3,4
211,Con,SNP,skipped,skipped,3,4
212,Con,SNP,skipped,skipped,3,4
213,Con,SNP,skipped,skipped,3,4
214,Con,SNP,skipped,skipped,3,4
215,Con,SNP,skipped,skipped,3,4
216,Con,SNP,skipped,skipped,3,4
217,Con,SNP,skipped,skipped,3,4
218,Con,SNP,skipped,skipped,3,4
219,Con,SNP,skipped,skipped,3,4
220,Con,SNP,skipped,skipped,3,4
221,Con,SNP,skipped,skipped,3,4
222,Con,SNP,skipped,skipped,3,4
223,Con,SNP,skipped,skipped,3,4
224,Con,SNP,skipped,skipped,3,4
225,Con,SNP,skipped,skipped,3,4
226,Con,SNP,skipped,skipped,3,4
227,Con,SNP,skipped,skipped,3,4
228,Con,SNP,skipped,skipped,3,4
229,Con,SNP,skipped,skipped,3,4
230,Con,SNP,skipped,skipped,3,4
231,Con,SNP,skipped,skipped,3,4
232,Con,SNP,skipped,skipped,3,4
233,Con,SNP,LD,skipped,3,4
234,Con,SNP,LD,skipped,3,4
235,Con,SNP,LD,skipped,3,4
236,Con,SNP,LD,skipped,3,4
237,Con,SNP,LD,skipped,3,4
238,Con,SNP,LD,skipped,3,4
239,Con,SNP,LD,skipped,3,4
240,Con,SNP,LD,skipped,3,4
241,Con,SNP,LD,skipped,3,4
242,Con,SNP,LD,skipped,3,4
243,Con,SNP,LD,skipped,3,4
244,Con,SNP,LD,skipped,3,4
245,Con,SNP,LD,skipped,3,4
246,Con,SNP,LD,skipped,3,4
247,Con,SNP,LD,skipped,3,4
248,Con,SNP,LD,skipped,3,4
249,Con,SNP,LD,skipped,3,4
250,Con,SNP,LD,skipped,3,4
251,Con,SNP,LD,skipped,3,4
252,Con,SNP,LD,skipped,3,4
253,Con,SNP,LD,skipped,3,4
254,Con,SNP,LD,skipped,3,4
255,Con,SNP,LD,skipped,3,4
256,Con,SNP,LD,skipped,3,4
257,Con,SNP,LD,skipped,3,4
258,Con,SNP,LD,skipped,3,4
259,Con,SNP,LD,skipped,3,4
260,Con,SNP,LD,skipped,3,4
261,Con,SNP,LD,skipped,3,4
262,Con,SNP,LD,Lab,3,4
263,Con,SNP,LD,Lab,3,4
264,Con,SNP,LD,Lab,3,4
265,Con,SNP,LD,Lab,3,4
266,Con,SNP,LD,Lab,3,4
267,Con,SNP,LD,Lab,3,4
268,Con,SNP,LD,Lab,3,4
269,Con,SNP,LD,Lab,3,4
270,Con,SNP,LD,Lab,3,4
271,Con,SNP,LD,Lab,3,4
272,Con,SNP,LD,Lab,3,4
273,Con,SNP,LD,Lab,3,4
274,Con,SNP,LD,Lab,3,4
275,Con,SNP,LD,Lab,3,4
276,Con,SNP,Lab,skipped,3,4
277,Con,SNP,Lab,skipped,3,4
278,Con,SNP,Lab,skipped,3,4
279,Con,SNP,Lab,skipped,3,4
280,Con,SNP,Lab,skipped,3,4
281,Con,SNP,Lab,skipped,3,4
282,Con,SNP,Lab,skipped,3,4
283,Con,SNP,Lab,LD,3,4
284,Con,SNP,Lab,LD,3,4
285,Con,SNP,Lab,LD,3,4
286,Con,SNP,Lab,LD,3,4
287,Con,SNP,Lab,LD,3,4
288,Con,LD,skipped,skipped,3,4
289,Con,LD,skipped,skipped,3,4
290,Con,LD,skipped,skipped,3,4
291,Con,LD,skipped,skipped,3,4
292,Con,LD,skipped,skipped,3,4
293,Con,LD,skipped,skipped,3,4
294,Con,LD,skipped,skipped,3,4
295,Con,LD,skipped,skipped,3,4
296,Con,LD,skipped,skipped,3,4
