country,file_name,num_voters,num_cands,num_seats,no_skipped,one_skipped,two_skipped,three_skipped,write_in,truncated
civs,2460a21056.csv,37,679.0,Unknown,36,0,0,0,0,0
civs,e4119ed4da.csv,46,5.0,1.0,46,0,0,0,0,0
civs,2d79140816.csv,2441,23.0,1.0,2441,0,0,0,0,0
civs,cbd4c8f99e.csv,49,104.0,1.0,49,0,0,0,0,0
civs,002b987e0e.csv,266,17.0,1.0,266,0,0,0,0,0
civs,fe8e8df1f6.csv,43,4.0,1.0,43,0,0,0,0,0
civs,d277605e04.csv,33,5.0,1.0,33,0,0,0,0,0
civs,79713f1df3.csv,44,5.0,1.0,44,0,0,0,0,0
civs,36b42b323d.csv,83,6.0,1.0,83,0,0,0,0,0
civs,6a36603563.csv,425,7.0,Unknown,425,0,0,0,0,0
civs,dc8e4b3d7e.csv,31,14.0,Unknown,31,0,0,0,0,0
civs,7416608758.csv,416,6.0,1.0,416,0,0,0,0,0
civs,c46b966c9b.csv,168,6.0,1.0,168,0,0,0,0,0
civs,c0a2e57b26.csv,41,5.0,1.0,41,0,0,0,0,0
civs,1d56c3efa4.csv,37,6.0,1.0,37,0,0,0,0,0
civs,5b0fdc2526.csv,75,3.0,1.0,75,0,0,0,0,0
civs,ec8b755183.csv,38,3.0,1.0,38,0,0,0,0,0
civs,03da1b092a.csv,35,31.0,1.0,35,0,0,0,0,0
civs,f41f8979dd.csv,177,3.0,1.0,177,0,0,0,0,0
civs,29b50de509.csv,67,16.0,1.0,44,2,3,2,0,0
civs,f38262c349.csv,57,3.0,1.0,57,0,0,0,0,0
civs,f777ef16bf.csv,31,7.0,1.0,31,0,0,0,0,0
civs,342bd6eea7.csv,60,11.0,1.0,60,0,0,0,0,0
civs,ad8b6669b7.csv,182,31.0,1.0,153,3,2,2,0,0
civs,00515ef6e8.csv,306,3.0,1.0,302,1,0,3,0,0
civs,daa64ea6ab.csv,404,81.0,1.0,357,6,1,0,0,0
civs,8c021a1d3f.csv,770,17.0,1.0,770,0,0,0,0,0
civs,0ad286a666.csv,118,10.0,1.0,118,0,0,0,0,0
civs,275dc3a473.csv,42,14.0,1.0,42,0,0,0,0,0
civs,85b885c9c4.csv,38,4.0,1.0,36,2,0,0,0,0
civs,375feb6ddb.csv,44,9.0,Unknown,44,0,0,0,0,0
civs,aa1b41b208.csv,75,6.0,1.0,75,0,0,0,0,0
civs,f3c5262afa.csv,48,5.0,1.0,48,0,0,0,0,0
civs,22ac5892df.csv,207,11.0,1.0,207,0,0,0,0,0
civs,44345c0ec9.csv,41,4.0,1.0,41,0,0,0,0,0
civs,f54832957c.csv,211,46.0,1.0,211,0,0,0,0,0
civs,cc46406260.csv,77,3.0,1.0,74,3,0,0,0,0
civs,10405996cc.csv,53,10.0,1.0,53,0,0,0,0,0
civs,12009ebe7f.csv,109,5.0,1.0,109,0,0,0,0,0
civs,fbbbe3ae72.csv,70,5.0,1.0,70,0,0,0,0,0
civs,cf2adbb8c7.csv,130,14.0,1.0,130,0,0,0,0,0
civs,772f39b930.csv,88,3.0,1.0,88,0,0,0,0,0
civs,0428dd6721.csv,39,10.0,1.0,36,0,0,0,0,0
civs,9bad295c2f.csv,45,4.0,Unknown,45,0,0,0,0,0
