ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
500001,491113,UOCAVA,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
500002,491113,UOCAVA,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
500003,491113,UOCAVA,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
500004,491113,UOCAVA,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
500005,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
500006,491113,UOCAVA,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",1,3
500007,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.",skipped,1,3
500008,491113,UOCAVA,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
500009,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
500010,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
500011,491113,UOCAVA,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
500012,Brunswick,Unscanned,"Perreault, Corinne Ann",skipped,skipped,1,3
500013,Brunswick,Unscanned,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
500014,Brunswick,Unscanned,"Perreault, Corinne Ann",skipped,skipped,1,3
500015,Brunswick,Unscanned,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
500016,Brunswick,Unscanned,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
151046,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
151062,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
151067,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151068,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
151084,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151094,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151099,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
151100,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
151133,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151137,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Perreault, Corinne Ann","Wilson, Katherine E.",1,3
151148,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",1,3
151155,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151162,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151167,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151169,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
151171,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151174,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy",skipped,1,3
151185,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151189,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151194,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy",skipped,1,3
151200,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
151203,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Arford, Poppy","Wilson, Katherine E.",1,3
151209,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
151216,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
151271,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Perreault, Corinne Ann","Arford, Poppy",1,3
151276,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy","Wilson, Katherine E.","Perreault, Corinne Ann",1,3
151284,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",1,3
151285,Brunswick W1,DEM Ballot Style 67,"Wilson, Katherine E.","Arford, Poppy","Perreault, Corinne Ann",1,3
151286,Brunswick W1,DEM Ballot Style 67,"Perreault, Corinne Ann","Wilson, Katherine E.","Arford, Poppy",1,3
151298,Brunswick W1,DEM Ballot Style 67,"Arford, Poppy",skipped,skipped,1,3
