ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
171305,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171306,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171308,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171309,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171319,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171325,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171330,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.",skipped,1,3
171334,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171336,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171339,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171341,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171360,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171362,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171369,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171377,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171380,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171403,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171405,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171407,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171412,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171414,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171421,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171426,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171427,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171431,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171437,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171440,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171441,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171442,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171447,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171449,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171458,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171465,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171468,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171471,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171474,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171477,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171481,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171485,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171486,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171489,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171491,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171492,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171494,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.",skipped,1,3
171498,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171500,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171503,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171508,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171514,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171523,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171535,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171538,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171541,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171542,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171560,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171568,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",1,3
171569,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171572,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171590,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.",skipped,skipped,1,3
171600,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171601,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171603,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171605,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171608,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171621,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171624,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171631,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171639,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",1,3
171663,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather",skipped,1,3
171666,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171673,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171687,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171692,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171702,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171713,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171715,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171718,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171719,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather",skipped,1,3
171725,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171727,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171739,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171741,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.",skipped,1,3
171747,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.",skipped,skipped,1,3
171748,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171750,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171752,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171756,Yarmouth,DEM Ballot Style 90,"Abbott, Heather",skipped,skipped,1,3
171759,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather",skipped,1,3
171763,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
171764,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171773,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171776,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
171789,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171798,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171810,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171811,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
171812,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171820,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
171822,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
171834,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.",skipped,1,3
171835,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
172723,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
172725,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
172730,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Abbott, Heather","Bell, Arthur L.",1,3
172733,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
172738,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
172742,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
172750,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
172754,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Fromuth, Peter J.","Bell, Arthur L.",1,3
172758,Yarmouth,DEM Ballot Style 90,"Abbott, Heather","Bell, Arthur L.","Fromuth, Peter J.",1,3
172761,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
172763,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Fromuth, Peter J.","Abbott, Heather",1,3
172768,Yarmouth,DEM Ballot Style 90,"Fromuth, Peter J.","Bell, Arthur L.","Abbott, Heather",1,3
172769,Yarmouth,DEM Ballot Style 90,"Bell, Arthur L.","Abbott, Heather","Fromuth, Peter J.",1,3
