ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
01001_00003_000663,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,MAX OROZCO,skipped,skipped,1,4
01001_00003_000547,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,DAVID KAKISHIBA,skipped,skipped,skipped,skipped,1,4
01001_00003_000416,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,skipped,skipped,skipped,skipped,1,4
01001_00003_000294,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,skipped,skipped,skipped,1,4
01001_00003_000215,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,MAX OROZCO,skipped,skipped,1,4
01001_00003_000114,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,MAX OROZCO,DAVID KAKISHIBA,skipped,skipped,1,4
01001_00003_000038,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,MAX OROZCO,skipped,skipped,1,4
01001_00003_000001,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,skipped,skipped,skipped,skipped,1,4
01001_00003_000637,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,skipped,skipped,skipped,skipped,1,4
01001_00003_000631,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,DAVID KAKISHIBA,skipped,skipped,skipped,skipped,1,4
01001_00003_000434,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,MAX OROZCO,JENNIFER BROUHARD,skipped,skipped,skipped,1,4
01001_00003_000428,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,MAX OROZCO,JENNIFER BROUHARD,skipped,skipped,skipped,1,4
01001_00003_000330,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,MAX OROZCO,DAVID KAKISHIBA,skipped,skipped,1,4
01001_00003_000221,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,DAVID KAKISHIBA,skipped,skipped,skipped,skipped,1,4
01001_00003_000566,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,MAX OROZCO,skipped,skipped,skipped,1,4
01001_00003_000565,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,MAX OROZCO,JENNIFER BROUHARD,DAVID KAKISHIBA,skipped,skipped,1,4
01001_00003_000559,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,MAX OROZCO,skipped,skipped,1,4
01001_00003_000422,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,skipped,skipped,skipped,skipped,1,4
01001_00003_000366,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,DAVID KAKISHIBA,skipped,skipped,skipped,skipped,1,4
01001_00003_000271,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,DAVID KAKISHIBA,MAX OROZCO,skipped,skipped,1,4
01001_00003_000189,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,DAVID KAKISHIBA,JENNIFER BROUHARD,MAX OROZCO,skipped,skipped,1,4
01001_00003_000126,BT22,Vote by Mail,AC Transit District,TRANSIT DISTRICTS 1,353310,353310,Election Office,JENNIFER BROUHARD,skipped,skipped,skipped,skipped,1,4
