file,candidate_removed,plurality,IRV,top-two,borda-pm,top-3-truncation,condorcet,minimax,smith,smith-minimax,ranked-pairs
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,none,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Ken Triantafillis,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Melissa Lowe,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Faith Fuhrer,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Nick Savage,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Richard Peppard,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,John Pesutto,Richard Peppard,Melissa Lowe,John Kennedy ,Melissa Lowe,Melissa Lowe,Melissa Lowe,Melissa Lowe,Melissa Lowe,Melissa Lowe,Melissa Lowe
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,John Kennedy ,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_Victoria_LegAssembly_2022/BallotPaperDetails-Hawthorn with candidates.csv,Stratton,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto,John Pesutto
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,none,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,JOHNSON Jeff,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,MCCARTHY Steve,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,WILLIAMS Keith,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon,CADWALLADER Sharon
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Ballina-mayoral-finalpreferencedatafile (1).csv,CADWALLADER Sharon,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff,JOHNSON Jeff
