file,candidate_removed,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Sue Budd,['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner'],['Jim Leuthner']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,Jim Leuthner,['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd']
/St Louis Park/StLouisPark_11022021_CityCouncilWard3.csv,writein,['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd'],['Sue Budd']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,John Basill,['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,Lynette Lungay Dumalag,['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill'],['John Basill']
/St Louis Park/StLouisPark_11022021_CityCouncilWard2.csv,writein,['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag'],['Lynette Lungay Dumalag']
/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,Margaret Rog,['writein'],['writein'],[None],['writein'],['writein'],['writein'],"['w', 'r', 'i', 't', 'e', 'i', 'n']",['writein'],['writein'],['writein'],['writein'],['writein'],['writein'],[None],['writein'],[None]
/St Louis Park/StLouisPark_11022021_CityCouncilWard1.csv,writein,['Margaret Rog'],['Margaret Rog'],[None],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],"['M', 'a', 'r', 'g', 'a', 'r', 'e', 't', ' ', 'R', 'o', 'g']",['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],['Margaret Rog'],[None],['Margaret Rog'],[None]
/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,writein,['Tim Brausen'],['Tim Brausen'],[None],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],"['T', 'i', 'm', ' ', 'B', 'r', 'a', 'u', 's', 'e', 'n']",['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],['Tim Brausen'],[None],['Tim Brausen'],[None]
/St Louis Park/StLouisPark_11022021_CityCouncilWard4.csv,Tim Brausen,['writein'],['writein'],[None],['writein'],['writein'],['writein'],"['w', 'r', 'i', 't', 'e', 'i', 'n']",['writein'],['writein'],['writein'],['writein'],['writein'],['writein'],[None],['writein'],[None]
