ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,Num cands,Num seats
00001_00000_334333,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_737136,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_122664,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_713460,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_301142,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_255132,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_458011,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_801323,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_047056,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_142511,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_443431,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_383979,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_857835,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_265333,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_754113,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_547413,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_952070,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_982209,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_410822,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_533516,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_153837,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_710646,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_035884,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_992001,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_925511,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_617522,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_185328,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_144477,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_617749,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_788638,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_720053,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_701830,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_997615,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",Write-in,skipped,3,1
00001_00000_162927,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_308465,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_973941,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_837929,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_223885,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_904001,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_215214,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_404269,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_632048,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_468954,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_540025,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_270671,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_798830,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_450205,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_372899,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_385107,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_049434,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_919553,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_124070,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,"TIMOTHY C. DOHERTY,JR",skipped,3,1
00001_00000_388746,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",JAKE SCHUMANN,skipped,3,1
00001_00000_722840,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,"TIMOTHY C. DOHERTY,JR",skipped,skipped,3,1
00001_00000_386512,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
00001_00000_552853,Ballot 1 - Type 1,Election Day,EAST,DISTRICT,WARD 1,WARD 1,CITY OF BURLINGTON,JAKE SCHUMANN,skipped,skipped,3,1
