rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
Hinda Miller,Kevin Curley,Louie the Cowman Beaudin,skipped,skipped,6,1
Bob Kiss,Hinda Miller,Loyal Ploof,skipped,skipped,6,1
Hinda Miller,Bob Kiss,skipped,skipped,skipped,6,1
Bob Kiss,Hinda Miller,skipped,skipped,skipped,6,1
Bob Kiss,Hinda Miller,Louie the Cowman Beaudin,skipped,skipped,6,1
Bob Kiss,Hinda Miller,skipped,skipped,skipped,6,1
Loyal Ploof,Louie the Cowman Beaudin,Kevin Curley,Hinda Miller,Bob Kiss,6,1
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped,6,1
Bob Kiss,Hinda Miller,Louie the Cowman Beaudin,skipped,skipped,6,1
Hinda Miller,Bob Kiss,Louie the Cowman Beaudin,Kevin Curley,Loyal Ploof,6,1
Hinda Miller,skipped,skipped,skipped,skipped,6,1
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped,6,1
Bob Kiss,Kevin Curley,Hinda Miller,Loyal Ploof,Louie the Cowman Beaudin,6,1
Hinda Miller,Bob Kiss,Kevin Curley,skipped,skipped,6,1
Bob Kiss,skipped,skipped,skipped,skipped,6,1
Hinda Miller,Bob Kiss,Kevin Curley,Loyal Ploof,Louie the Cowman Beaudin,6,1
Kevin Curley,skipped,skipped,skipped,skipped,6,1
Kevin Curley,skipped,skipped,skipped,skipped,6,1
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped,6,1
Bob Kiss,Loyal Ploof,Hinda Miller,skipped,skipped,6,1
Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof,skipped,skipped,6,1
Bob Kiss,skipped,skipped,skipped,skipped,6,1
Hinda Miller,Bob Kiss,Kevin Curley,Louie the Cowman Beaudin,Write-Ins,6,1
Bob Kiss,Kevin Curley,skipped,skipped,skipped,6,1
Hinda Miller,Kevin Curley,Bob Kiss,Louie the Cowman Beaudin,Loyal Ploof,6,1
Hinda Miller,Bob Kiss,Kevin Curley,Loyal Ploof,skipped,6,1
