Cast Vote Record,Precinct,Ballot Style,Num cands,Num seats,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
23,Portland Absentee,Ballot Style 3,11,1,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
24,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
25,Portland Absentee,Ballot Style 5,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped
26,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
27,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
28,Portland Absentee,Ballot Style 4,11,1,"Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
29,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
30,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
32,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
33,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped
34,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Buxton, Catherine A.","Houseal, Ian P.","Condrey, Lawson T.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.",skipped,skipped,skipped,skipped
35,Portland Absentee,Ballot Style 5,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.",skipped,skipped
36,Portland Absentee,Ballot Style 2,11,1,"Houseal, Ian P.","Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
37,Portland Absentee,Ballot Style 3,11,1,"Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
38,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
39,Portland Absentee,Ballot Style 3,11,1,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
40,Portland Absentee,Ballot Style 3,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped
41,Portland Absentee,Ballot Style 2,11,1,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped
42,Portland Absentee,Ballot Style 1,11,1,"Bailey, William M.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
43,Portland Absentee,Ballot Style 2,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
44,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
45,Portland Absentee,Ballot Style 1,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
46,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
47,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
48,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.",skipped,skipped,skipped,skipped
49,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Washburn, Patricia J.","Houseal, Ian P.",skipped,skipped
50,Portland Absentee,Ballot Style 5,11,1,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",skipped
51,Portland Absentee,Ballot Style 4,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
52,Portland Absentee,Ballot Style 2,11,1,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
53,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
54,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Emerson, Anthony M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
55,Portland Absentee,Ballot Style 4,11,1,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped
56,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Houseal, Ian P.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
57,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
58,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Grant, Benjamin K.","Bailey, William M.","Houseal, Ian P.","Condrey, Lawson T.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J."
59,Portland Absentee,Ballot Style 4,11,1,"Bailey, William M.","Houseal, Ian P.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
60,Portland Absentee,Ballot Style 5,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
61,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.","Grant, Benjamin K.","Chann, Marpheen S.",skipped,skipped,skipped,skipped
62,Portland Absentee,Ballot Style 4,11,1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.","Grant, Benjamin K.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
63,Portland Absentee,Ballot Style 1,11,1,"Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
64,Portland Absentee,Ballot Style 4,11,1,"Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Chann, Marpheen S.","Buxton, Catherine A.","Washburn, Patricia J.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","DiMillo, Steven A.","Bailey, William M.","Rovelto, Hope R."
65,Portland Absentee,Ballot Style 1,11,1,"Grant, Benjamin K.","Houseal, Ian P.","Emerson, Anthony M.","Condrey, Lawson T.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
66,Portland Absentee,Ballot Style 4,11,1,"DiMillo, Steven A.","Grant, Benjamin K.","Houseal, Ian P.","Condrey, Lawson T.","Chann, Marpheen S.","Bailey, William M.","Buxton, Catherine A.","Emerson, Anthony M.","Rovelto, Hope R.","Sheikh-Yousef, Nasreen A.",skipped
67,Portland Absentee,Ballot Style 2,11,1,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Emerson, Anthony M.","Washburn, Patricia J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
68,Portland Absentee,Ballot Style 4,11,1,"Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
69,Portland Absentee,Ballot Style 5,11,1,"Grant, Benjamin K.","Bailey, William M.","Buxton, Catherine A.","Chann, Marpheen S.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
70,Portland Absentee,Ballot Style 5,11,1,"Houseal, Ian P.","Chann, Marpheen S.","Condrey, Lawson T.","DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
71,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.","Chann, Marpheen S.","Bailey, William M.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
72,Portland Absentee,Ballot Style 3,11,1,"Grant, Benjamin K.","Chann, Marpheen S.","Condrey, Lawson T.","Houseal, Ian P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
73,Portland Absentee,Ballot Style 3,11,1,"DiMillo, Steven A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
