precinct,rank1,rank2,rank3,numSeats,numCands
2-Dec,writein,skipped,skipped,3.0,9
13-03,writein,skipped,skipped,,9
5-Aug,Mary Merrill Anderson,writein,skipped,,9
9-Jan,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
3-Feb,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
3-Apr,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
3-Apr,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
1-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
1-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
3-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
5-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
6-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
10-May,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
4-Jun,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
6-Jul,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
6-Jul,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
8-Sep,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
4-Oct,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
5-Oct,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
10-Oct,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
6-Dec,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
9-Dec,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
13-05,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
13-06,Mary Merrill Anderson,Nancy Bernard,John Butler,,9
7-Jan,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
1-Mar,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
7-Mar,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
1-Apr,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
1-May,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
4-May,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
5-May,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
8-May,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
2-Jun,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
4-Jun,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
7-Jul,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
8-Jul,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
8-Jul,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
10-Sep,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
4-Nov,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
6-Nov,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
13-08,Mary Merrill Anderson,Nancy Bernard,John Erwin,,9
2-Jan,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
6-Jan,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
7-Jan,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
9-Apr,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
1-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
1-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
3-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
3-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
4-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
5-May,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
2-Jul,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
8-Jul,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
10-Jul,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
10-Jul,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
2-Aug,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
2-Aug,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
5-Aug,Mary Merrill Anderson,Nancy Bernard,Bob Fine,,9
