Precinct,rank1,rank2,rank3,numSeats,numCands
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Cam Gordon,Robin Wonsley Worlobah,Yusra Arab,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,skipped,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
MINNEAPOLIS W-2 P-09,Yusra Arab,Tom Anderson,Cam Gordon,1,6
