rank1,rank2,rank3,rank4,rank5,Num cands,Num seats
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
Cand 2,skipped,skipped,skipped,skipped,5,1
