voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,numSeats,numCands
0,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
1,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
2,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
3,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
4,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
5,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
6,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
7,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
8,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
9,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
10,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
11,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
12,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
13,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
14,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
15,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
16,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
17,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
18,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
19,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
20,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
21,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
22,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
23,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
24,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
25,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
26,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
27,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
28,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
29,Finlay MCFARLANE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
30,Finlay MCFARLANE (SNP),Pete CARSON (Ind),Marianne MWIKI (SNP),Kevin ILLINGWORTH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
31,Finlay MCFARLANE (SNP),Bonnie Prince BOB (Ind),Pete CARSON (Ind),Claire MILLER (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
32,Bonnie Prince BOB (Ind),Kevan SHAW (Alba),Pete CARSON (Ind),Claire MILLER (Grn),Jo MOWAT (Con),Marianne MWIKI (SNP),Maria PAKPAHAN-CAMPBELL (Ind),Andy FOXALL (LD),Margaret Arma GRAHAM (Labour and Co-operative Party),Kevin ILLINGWORTH (Ind),Paul R. PENMAN (Ind),Norrie ROWAN (Ind),skipped,,13
33,Finlay MCFARLANE (SNP),Bonnie Prince BOB (Ind),Marianne MWIKI (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
34,Bonnie Prince BOB (Ind),Claire MILLER (Grn),Kevan SHAW (Alba),Marianne MWIKI (SNP),Maria PAKPAHAN-CAMPBELL (Ind),Paul R. PENMAN (Ind),Pete CARSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,13
35,Bonnie Prince BOB (Ind),Andy FOXALL (LD),Claire MILLER (Grn),Jo MOWAT (Con),Marianne MWIKI (SNP),Maria PAKPAHAN-CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
36,Finlay MCFARLANE (SNP),Kevan SHAW (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,13
