voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,num_positions
3982,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Lisa KEOGH Alba Party for independence,David FAIRWEATHER Independent,Ian WREN Independent,Anne Julia CAMPBELL Scottish Green Party,Pamela RUDDY Scottish Labour Party,Rod FALCONER Scottish Liberal Democrats,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,4
3983,Juliet VIVERS Scottish Conservative and Unionist,Louise NICOL Scottish Conservative and Unionist,Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,Ian WREN Independent,David FAIRWEATHER Independent,skipped,skipped,skipped,skipped,4
3984,Martin SHEPHERD Scottish National Party (SNP),David FAIRWEATHER Independent,Anne Julia CAMPBELL Scottish Green Party,Pamela RUDDY Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,skipped,4
3985,Anne Julia CAMPBELL Scottish Green Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),Rod FALCONER Scottish Liberal Democrats,Pamela RUDDY Scottish Labour Party,skipped,skipped,skipped,skipped,skipped,4
3986,David FAIRWEATHER Independent,Louise NICOL Scottish Conservative and Unionist,Juliet VIVERS Scottish Conservative and Unionist,Rod FALCONER Scottish Liberal Democrats,Ian WREN Independent,skipped,skipped,skipped,skipped,skipped,4
3987,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3988,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3989,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3990,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3991,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3992,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3993,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3994,Pamela RUDDY Scottish Labour Party,Anne Julia CAMPBELL Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
3995,Pamela RUDDY Scottish Labour Party,Martin SHEPHERD Scottish National Party (SNP),Serena Mary COWDY Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
