ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,rank3,numSeats,numCands
93600_00005_000016,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000027,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000004,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00005_000021,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000003,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00005_000022,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000010,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000023,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000014,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000024,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000012,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000026,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000005,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000001,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000002,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000007,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000015,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000018,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00005_000013,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000017,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00005_000009,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00005_000006,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00005_000011,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
92902_00000_679505_,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region II,"LeBon, Bart",skipped,skipped,1,3
92902_00000_669924_,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region II,"LeBon, Bart",skipped,skipped,1,3
92901_00000_551688_,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region II,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00003_000092,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000091,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000041,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00003_000040,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000022,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00003_000019,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart","Dibert, Maxine L.",skipped,1,3
93600_00003_000008,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00003_000096,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00003_000095,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.",skipped,skipped,1,3
93600_00003_000060,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000059,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000039,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00003_000020,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"Dibert, Maxine L.","LeBon, Bart",skipped,1,3
93600_00003_000011,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000094,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000093,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
93600_00003_000047,Ballot 33 - Type 33,Early Voting,Judicial 4,Judicial,District 31 - Early Voting,District 31 - Early Voting,Region III,"LeBon, Bart",skipped,skipped,1,3
