filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
australia_0.8-mention_scores,3,australia,0.8,mention_scores,,,,,,3,,,,,,,,,
australia_0.4-mention_scores,0,australia,0.4,mention_scores,,,,,,,,,,,,,,,
australia_0.7-borda_scores_no_bottom_third,28,australia,0.7,borda_scores_no_bottom_third,,,,25,,3,,,,,,,,,
australia_0.6-borda_scores_no_bottom_third,9,australia,0.6,borda_scores_no_bottom_third,,,,8,,1,,,,,,,,,
australia_0.1-borda_scores_no_bottom_third,0,australia,0.1,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.3-borda_scores_no_bottom_third,0,australia,0.3,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.2-borda_scores_no_bottom_third,0,australia,0.2,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.5-borda_scores_no_bottom_third,4,australia,0.5,borda_scores_no_bottom_third,,,,3,,1,,,,,,,,,
australia_0.9-borda_scores_no_bottom_third,88,australia,0.9,borda_scores_no_bottom_third,2,3,,66,,44,3,3,1,3,3,2,1,7,2
australia_0.8-borda_scores_no_bottom_third,54,australia,0.8,borda_scores_no_bottom_third,,,,44,,15,,,,,,,,,
australia_0.4-borda_scores_no_bottom_third,0,australia,0.4,borda_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.7-mention_scores_no_bottom_third,19,australia,0.7,mention_scores_no_bottom_third,,,,17,,2,,,,,,,,,
australia_0.6-mention_scores_no_bottom_third,3,australia,0.6,mention_scores_no_bottom_third,,,,3,,,,,,,,,,,
australia_0.1-mention_scores_no_bottom_third,0,australia,0.1,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.3-mention_scores_no_bottom_third,0,australia,0.3,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.2-mention_scores_no_bottom_third,0,australia,0.2,mention_scores_no_bottom_third,,,,,,,,,,,,,,,
australia_0.5-mention_scores_no_bottom_third,1,australia,0.5,mention_scores_no_bottom_third,,,,1,,,,,,,,,,,
australia_0.9-mention_scores_no_bottom_third,80,australia,0.9,mention_scores_no_bottom_third,5,5,1,58,1,36,5,5,3,5,5,5,3,4,5
