,filename,elections_with_changes,country,percentage,method,IRV,approval,borda-avg-no-uwi,borda-om-no-uwi,borda-pm,bucklin,condorcet,minimax,plurality,ranked-pairs,smith-minimax,smith_irv,smith_plurality,top-3-truncation,top-two
146,scotland_0.1-borda_scores,0,scotland,0.1,borda_scores,,,,,,,,,,,,,,,
150,scotland_0.4-borda_scores,0,scotland,0.4,borda_scores,,,,,,,,,,,,,,,
36,america_0.1-borda_scores,0,america,0.1,borda_scores,,,,,,,,,,,,,,,
148,scotland_0.3-borda_scores,0,scotland,0.3,borda_scores,,,,,,,,,,,,,,,
147,scotland_0.2-borda_scores,0,scotland,0.2,borda_scores,,,,,,,,,,,,,,,
51,america_0.4-mention_scores,0,america,0.4,mention_scores,,,,,,,,,,,,,,,
91,australia_0.6-borda_scores,1,australia,0.6,borda_scores,,,,,,1.0,,,,,,,,,
122,australia_0.5-mention_scores_no_bottom_third,1,australia,0.5,mention_scores_no_bottom_third,,,,1.0,,,,,,,,,,,
61,america_0.3-borda_scores_no_bottom_third,1,america,0.3,borda_scores_no_bottom_third,,,,,,1.0,,,,,,,,,
60,america_0.4-borda_scores_no_bottom_third,1,america,0.4,borda_scores_no_bottom_third,,,,,,1.0,,,,,,,,,
189,scotland_0.6-borda2,1,scotland,0.6,borda2,,,,,,,,,1.0,,,,,,
190,scotland_0.7-borda2,1,scotland,0.7,borda2,,,,,,,,,1.0,,,,,,
142,australia_0.8-borda2,1,australia,0.8,borda2,,1.0,,,,,,,,,,,,,
95,australia_0.5-borda_scores,1,australia,0.5,borda_scores,,,,,,1.0,,,,,,,,,
38,america_0.6-borda_scores,1,america,0.6,borda_scores,,,,,,1.0,,,,,,,,,
141,australia_0.9-borda2,1,australia,0.9,borda2,,1.0,,,,,,,,,,,,,
132,australia_0.9-mention2,1,australia,0.9,mention2,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,america_0.5-borda_scores_no_bottom_third,2,america,0.5,borda_scores_no_bottom_third,,,,,,2.0,,,,,,,,,
153,scotland_0.6-mention_scores,2,scotland,0.6,mention_scores,,,,,,,,,2.0,,,,2.0,,
90,australia_0.7-borda_scores,2,australia,0.7,borda_scores,,,,,,2.0,,,,,,,,,
77,america_0.8-mention2,2,america,0.8,mention2,1.0,,,,,,,,2.0,,,,,,1.0
162,scotland_0.6-borda_scores_no_bottom_third,2,scotland,0.6,borda_scores_no_bottom_third,,,,,,1.0,,,1.0,,,,1.0,,
171,scotland_0.6-mention_scores_no_bottom_third,2,scotland,0.6,mention_scores_no_bottom_third,,,,,,,,,2.0,,,,2.0,,
99,australia_0.7-mention_scores,2,australia,0.7,mention_scores,,,,,,2.0,,,,,,,,,
144,scotland_0.6-borda_scores,2,scotland,0.6,borda_scores,,,,,,1.0,,,1.0,,,,1.0,,
180,scotland_0.6-mention2,2,scotland,0.6,mention2,,,,,,,,,2.0,,,,,,
76,america_0.9-mention2,3,america,0.9,mention2,1.0,,,,,,,,3.0,,,,,,1.0
37,america_0.7-borda_scores,3,america,0.7,borda_scores,,,,,,3.0,,,,,,,,,
96,australia_0.9-borda_scores,3,australia,0.9,borda_scores,,,,,,3.0,,,,,,,,,
97,australia_0.8-borda_scores,3,australia,0.8,borda_scores,,,,,,3.0,,,,,,,,,
106,australia_0.8-mention_scores,3,australia,0.8,mention_scores,,,,,,3.0,,,,,,,,,
118,australia_0.6-mention_scores_no_bottom_third,3,australia,0.6,mention_scores_no_bottom_third,,,,3.0,,,,,,,,,,,
113,australia_0.5-borda_scores_no_bottom_third,4,australia,0.5,borda_scores_no_bottom_third,,,,3.0,,1.0,,,,,,,,,
47,america_0.6-mention_scores,4,america,0.6,mention_scores,,,,,,4.0,,,,,,,,,
65,america_0.6-mention_scores_no_bottom_third,4,america,0.6,mention_scores_no_bottom_third,,,,,,4.0,,,,,,,,,
105,australia_0.9-mention_scores,5,australia,0.9,mention_scores,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,scotland_0.8-borda2,5,scotland,0.8,borda2,,,,,,2.0,,,2.0,,,,,,1.0
0,civs_0.1-borda_scores,6,civs,0.1,borda_scores,,6.0,,,,,,,,,,,,,
64,america_0.7-mention_scores_no_bottom_third,6,america,0.7,mention_scores_no_bottom_third,,,,,,6.0,,,,,,,,,
46,america_0.7-mention_scores,6,america,0.7,mention_scores,,,,,,6.0,,,,,,,,,
18,civs_0.1-borda_scores_no_bottom_third,6,civs,0.1,borda_scores_no_bottom_third,,6.0,,,,,,,,,,,,,
41,america_0.8-borda_scores,7,america,0.8,borda_scores,,,,,,7.0,,,,,,,,,
56,america_0.6-borda_scores_no_bottom_third,8,america,0.6,borda_scores_no_bottom_third,,,,,,8.0,,,,,,,,,
109,australia_0.6-borda_scores_no_bottom_third,9,australia,0.6,borda_scores_no_bottom_third,,,,8.0,,1.0,,,,,,,,,
181,scotland_0.7-mention2,9,scotland,0.7,mention2,,,,,,,,,9.0,,,,,,
197,scotland_0.9-borda2,10,scotland,0.9,borda2,,,,,,2.0,,,6.0,,,,,,2.0
40,america_0.9-borda_scores,12,america,0.9,borda_scores,,,,,,12.0,,,,,,,,,
