ballotID,Precinct,Ballot Style,rank1,rank2,rank3,numSeats,numCands
300500,Islesboro,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",1,3
300501,Searsmont,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",1,3
300502,Searsport,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",1,3
300503,Searsport,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",1,3
300504,Swanville,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",1,3
300505,Unity,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.",skipped,1,3
300506,Belfast W1,Unscanned,"Curry, Glenn Chip",skipped,skipped,1,3
300507,Belfast W2,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",1,3
300508,Brooks,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",1,3
300509,Freedom,Unscanned,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",1,3
300510,Jackson,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,1,3
300511,Jackson,Unscanned,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",1,3
300512,Liberty,Unscanned,"Pattavina, Charles F.","Stanicki, Robyn M.","Curry, Glenn Chip",1,3
300513,Troy,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",1,3
300514,Belfast W1,Unscanned,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",1,3
300515,Belfast W1,Unscanned,"Stanicki, Robyn M.","Pattavina, Charles F.","Curry, Glenn Chip",1,3
300516,UOCAVA,Unscanned,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",1,3
300000,408111,UOCAVA,"Pattavina, Charles F.",skipped,skipped,1,3
300001,397111,UOCAVA,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",1,3
300002,392111,UOCAVA,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",1,3
300004,400111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,1,3
300005,395111,UOCAVA,"Stanicki, Robyn M.","Curry, Glenn Chip","Pattavina, Charles F.",1,3
300006,390111,UOCAVA,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M.",1,3
300007,517111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.",skipped,1,3
300008,401111,UOCAVA,"Stanicki, Robyn M.",skipped,skipped,1,3
300009,408111,UOCAVA,"Pattavina, Charles F.",skipped,skipped,1,3
300010,406111,UOCAVA,"Curry, Glenn Chip","Pattavina, Charles F.","Stanicki, Robyn M.",1,3
300011,401111,UOCAVA,"Stanicki, Robyn M.",skipped,skipped,1,3
22186,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped,1,3
22190,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Curry, Glenn Chip","Stanicki, Robyn M.",1,3
22191,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip","Stanicki, Robyn M.","Pattavina, Charles F.",1,3
22192,Lincolnville,DEM Ballot Style 41,"Curry, Glenn Chip",skipped,skipped,1,3
22197,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.",skipped,skipped,1,3
22198,Lincolnville,DEM Ballot Style 41,"Pattavina, Charles F.","Stanicki, Robyn M.",skipped,1,3
