voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,num_positions
0,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
1,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
2,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
3,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
4,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
5,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
6,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
7,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
8,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
9,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
10,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
11,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
12,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
13,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
14,Robert BARR Independent,Donald L REID Independent,John WILLIS Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
15,Donald L REID Independent,Robert BARR Independent,John WILLIS Independent,"Carol Ann DOBSON Freedom Alliance. Truth, Equality and Health.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
16,Donald L REID Independent,Robert BARR Independent,John WILLIS Independent,"Carol Ann DOBSON Freedom Alliance. Truth, Equality and Health.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
17,Donald L REID Independent,Robert BARR Independent,John WILLIS Independent,"Carol Ann DOBSON Freedom Alliance. Truth, Equality and Health.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
18,John BELL Scottish Labour Party,James ROBSON Scottish Labour Party,Donald L REID Independent,Ronnie STALKER Scottish Conservative and Unionist,Robert BARR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
19,John BELL Scottish Labour Party,James ROBSON Scottish Labour Party,Donald L REID Independent,Ronnie STALKER Scottish Conservative and Unionist,Robert BARR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
20,John BELL Scottish Labour Party,Donald L REID Independent,Robert BARR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
21,John BELL Scottish Labour Party,Donald L REID Independent,Robert BARR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
22,John BELL Scottish Labour Party,Donald L REID Independent,Robert BARR Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
23,Robert BARR Independent,Ronnie STALKER Scottish Conservative and Unionist,Margaret JOHNSON Scottish National Party (SNP),Anthea DICKSON Scottish National Party (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
24,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
25,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
26,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
27,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
28,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
29,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
30,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
31,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
32,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
33,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
34,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
35,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
36,Anthea DICKSON Scottish National Party (SNP),Margaret JOHNSON Scottish National Party (SNP),Catherine WILLIAMSON Scottish Liberal Democrats,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,5
