District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4
Wollongong,Absent,17792,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17793,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17794,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17795,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17796,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17797,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17798,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17799,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17800,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17801,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17802,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17803,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17804,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17805,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17806,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17807,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17808,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17809,Formal,BLAKEY Cath,skipped,skipped,skipped
Wollongong,Absent,17810,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17811,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17812,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17813,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17814,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17815,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17816,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17817,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17818,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17819,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17820,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17821,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17822,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17823,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17824,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17825,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17826,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17827,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17828,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17829,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17830,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17831,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17832,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17833,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17834,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17835,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17836,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17837,Formal,JOHNSON Joel,skipped,skipped,skipped
Wollongong,Absent,17838,Formal,JOHNSON Joel,skipped,skipped,skipped
