District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4
Terrigal,Absent,23107,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23108,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23109,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23110,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23111,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23112,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23113,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23114,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23115,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23116,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23117,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23118,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23119,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23120,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23121,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23122,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23123,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23124,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23125,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23126,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23127,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23128,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23129,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23130,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23131,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23132,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23133,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23134,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23135,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23136,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23137,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23138,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23139,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23140,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23141,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23142,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23143,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23144,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23145,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23146,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23147,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23148,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23149,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23150,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23151,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23152,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23153,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23154,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23155,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23156,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23157,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23158,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23159,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23160,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23161,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23162,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23163,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23164,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23165,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23166,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23167,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23168,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23169,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23170,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23171,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23172,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23173,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23174,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23175,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23176,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23177,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23178,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23179,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23180,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23181,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23182,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23183,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23184,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23185,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23186,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23187,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23188,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23189,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23190,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23191,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23192,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23193,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23194,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23195,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23196,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23197,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23198,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23199,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23200,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23201,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23202,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23203,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23204,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23205,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23206,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23207,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23208,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23209,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23210,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23211,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23212,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23213,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23214,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23215,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23216,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23217,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23218,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23219,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23220,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23221,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23222,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23223,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23224,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23225,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23226,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23227,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23228,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23229,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23230,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23231,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23232,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23233,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23234,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23235,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23236,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23237,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23238,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23239,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23240,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23241,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23242,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23243,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23244,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23245,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23246,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23247,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23248,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23249,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23250,Formal,BOUGHTON Sam,skipped,skipped,skipped
Terrigal,Absent,23251,Formal,CROUCH Adam,skipped,skipped,skipped
