District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4
Keira,Absent,19976,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19977,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19978,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19979,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19980,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19981,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19982,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19983,Formal,ANTHONY Andrew,skipped,skipped,skipped
Keira,Absent,19984,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19985,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19986,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19987,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19988,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19989,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19990,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19991,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19992,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19993,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19994,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19995,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19996,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19997,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19998,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,19999,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,20000,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,20001,Formal,DOCKER Kit,skipped,skipped,skipped
Keira,Absent,20002,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20003,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20004,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20005,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20006,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20007,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20008,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20009,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20010,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20011,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20012,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20013,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20014,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20015,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20016,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20017,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20018,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20019,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20020,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20021,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20022,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20023,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20024,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20025,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20026,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20027,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20028,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20029,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20030,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20031,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20032,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20033,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20034,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20035,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20036,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20037,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20038,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20039,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20040,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20041,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20042,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20043,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20044,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20045,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20046,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20047,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20048,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20049,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20050,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20051,Formal,PARK Ryan,skipped,skipped,skipped
Keira,Absent,20052,Formal,PARK Ryan,skipped,skipped,skipped
