District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4
Rockdale,Absent,21780,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21781,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21782,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21783,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21784,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21785,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21786,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21787,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21788,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21789,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21790,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21791,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21792,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21793,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21794,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21795,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21796,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21797,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21798,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21799,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21800,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21801,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21802,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21803,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21804,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21805,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21806,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21807,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21808,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21809,Formal,KAMPER Steve,skipped,skipped,skipped
Rockdale,Absent,21810,Formal,KAMPER Steve,skipped,skipped,skipped
