District,PollingPlaceName,BPNumber,Formality,rank1,rank2,rank3,rank4,rank5
Wyong,Absent,25168,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25169,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25170,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25171,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25172,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25173,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25174,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25175,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25176,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25177,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25178,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25179,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25180,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25181,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25182,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25183,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25184,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25185,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25186,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25187,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25188,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25189,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25190,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25191,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25192,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25193,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25194,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25195,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25196,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25197,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25198,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25199,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25200,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25201,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25202,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25203,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25204,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25205,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25206,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25207,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25208,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25209,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25210,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25211,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25212,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25213,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25214,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25215,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25216,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25217,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25218,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25219,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25220,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25221,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25222,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25223,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25224,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25225,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25226,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25227,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25228,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25229,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25230,Formal,HARRIS David,skipped,skipped,skipped,skipped
Wyong,Absent,25231,Formal,HARRIS David,skipped,skipped,skipped,skipped
